2017-2018 Castleberry ISD
Elementary Students School Supply List
Pre -
Kindergarten
1 pair Earbuds,Earbuds,1
2-(4oz)
Glue Bottles,Glue,Multiple
1 set - Watercolor,Watercolor,1
Paints,Paints,Multiple
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12) Manila,Pack Manila,1
Construction Paper,Construction Paper,1
(No Tablets),Tablets,Multiple
1 Pack (9x12),Pack,1
Assorted Colors,Assorted Colors,Multiple
Construction Paper,Construction Paper,1
2 - Plastic Folders,Plastic Folders,2
with Pockets & Brads
(Red & Blue),Red Blue,1
2 Boxes
(24 Count)
Crayola Crayons,Crayola Crayons,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
1 Pack (12 Count),Pack,1
No.2 Pencils,Pencils,Multiple
1 Pack (4 Count),Pack,1
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
1 pack - (4 tubs),pack,1
Play -Doh,Play,1
1- Wide Ruled,Wide Ruled,1
Composition
Notebook,Notebook,1
Kindergarten
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Blunt,Blunt,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12) Manila,Pack Manila,1
Construction Paper,Construction Paper,1
1 Pack (9x12),Pack,1
Assorted Colors,Assorted Colors,Multiple
Construction Paper,Construction Paper,1
2 - Plastic Folders,Plastic Folders,2
with Pockets & Brads
(Red & Blue),Red Blue,1
1 Box
(24 Count)
Crayola Crayons,Crayola Crayons,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
3 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
2 Pink,Pink,2
Bevel Erasers,Bevel Erasers,Multiple
1- Wide Ruled,Wide Ruled,1
Composition
Notebook,Notebook,1
1 - 8x5
Plastic School Box,Plastic,1
2 - (90 Page)
Wide Ruled,Wide Ruled,1
Spiral Notebooks,Spiral Notebooks,Multiple
First Grade
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Blunt,Blunt,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
4 - Plastic Folders,Plastic Folders,4
with Pockets & Brads
2 Boxes
(24 Count)
Crayola Crayons,Crayola Crayons,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
3 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
2 Pink,Pink,2
Bevel Erasers,Bevel Erasers,Multiple
4 - Wide Ruled,Wide Ruled,4
Composition
Notebooks,Notebooks,Multiple
1 - 8x5
Plastic School Box,Plastic,1
2 - (90 Page)
Wide Ruled,Wide Ruled,1
Spiral Notebooks,Spiral Notebooks,Multiple
2 Packs (150 Count)
Wide Ruled,Wide Ruled,1
Notebook Paper,Notebook Paper,1
Second Grade
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Sharp,Sharp,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12) Manila,Pack Manila,1
Construction Paper,Construction Paper,1
1 Pack (9x12),Pack,1
Assorted Colors,Assorted Colors,Multiple
Construction Paper,Construction Paper,1
6 - Plastic Folders,Plastic Folders,6
with Pockets & Brads
1 Box
(24 Count)
Crayola Crayons,Crayola Crayons,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
3 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
1 Pack (10 Count),Pack,1
Pencil Cap Erasers,Pencil Cap Erasers,Multiple
3 - Wide Ruled,Wide Ruled,3
Composition
Notebooks,Notebooks,Multiple
1 - 8x5
Plastic School Box,Plastic,1
3 - (90 Page)
Wide Ruled,Wide Ruled,1
Spiral Notebooks,Spiral Notebooks,Multiple
2 Packs (150 Count)
Wide Ruled,Wide Ruled,1
Notebook Paper,Notebook Paper,1
1 Box (12 Count)
Colored Pencils,Colored Pencils,Multiple
Third Grade
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Sharp,Sharp,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12) Manila,Pack Manila,1
Construction Paper,Construction Paper,1
(Boys),Boys,Multiple
1 Pack (9x12),Pack,1
Assorted Colors,Assorted Colors,Multiple
Construction Paper,Construction Paper,1
(Girls),Girls,Multiple
5 - Plastic Folders,Plastic Folders,5
with Pockets & Brads
(Assorted Colors),Assorted Colors,Multiple
1 Pack (4 Count),Pack,1
Multi -colored,Multi colored,1
Highlighters,Highlighters,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
2 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
1 Pack (10 Count),Pack,1
Pencil Cap Erasers,Pencil Cap Erasers,Multiple
2 - Wide Ruled,Wide Ruled,2
Composition
Notebooks,Notebooks,Multiple
1 - Large 3 -Ring,Large Ring,1
Pencil Pouch,Pencil Pouch,1
5 - (90 Page)
Wide Ruled,Wide Ruled,1
Spiral Notebooks,Spiral Notebooks,Multiple
2 Packs (150 Count)
Wide Ruled,Wide Ruled,1
Notebook Paper,Notebook Paper,1
1 Box (12 Count)
Colored Pencils,Colored Pencils,Multiple
Fourth Grade
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Sharp,Sharp,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12),Pack,1
Bright White
Construction Paper,Construction Paper,1
6 - Plastic Folders,Plastic Folders,6
with Pockets & Brads
(Assorted Colors),Assorted Colors,Multiple
1 Pack (4 Count),Pack,1
Multi -colored,Multi colored,1
Highlighters,Highlighters,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
4 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
2 Packs (10 Count)
Pencil Cap Erasers,Pencil Cap Erasers,Multiple
4- Wide Ruled,Wide Ruled,4
Composition
Notebooks,Notebooks,Multiple
1- Large 3 -Ring,Large Ring,1
Pencil Pouch,Pencil Pouch,1
2 - (100 Page)
Wide Ruled,Wide Ruled,1
Spiral Notebooks,Spiral Notebooks,Multiple
4 Packs (150 Count)
Wide Ruled,Wide Ruled,1
Notebook Paper,Notebook Paper,1
1 Box (12 Count)
Colored Pencils,Colored Pencils,Multiple
1 - (2 inch) 3 -ring,ring,1
Binder with dividers,Binder,1
Fifth Grade
1 pair Earbuds,Earbuds,1
6 - Glue Sticks,Glue Sticks,6
1 Pair Sharp,Sharp,1
"5"" Scissors",Scissors,5
2 Boxes
Facial Tissue,Facial Tissue,1
1 Pack (9x12),Pack,1
Bright White
Construction Paper,Construction Paper,1
1 Pack (9x12),Pack,1
Assorted Colors,Assorted Colors,Multiple
Construction Paper,Construction Paper,1
3 - Plastic Folders,Plastic Folders,3
with Pockets & Brads
(Assorted Colors),Assorted Colors,Multiple
6 - Yellow,Yellow,6
Highlighters,Highlighters,Multiple
1 Pack (8 Count),Pack,1
Washable Thick,Washable Thick,1
Classic Color Markers,Classic Color Markers,Multiple
4 Packs (12 Count)
No.2 Pencils,Pencils,Multiple
2 Packs (4 Count)
Large EXPO,Large EXPO,1
Dry Erase Markers,Dry Erase Markers,Multiple
(1 black / 1 Assorted),Assorted,1
4 Packs (10 Count)
Pencil Cap Erasers,Pencil Cap Erasers,Multiple
1 -Wide Ruled /2 -Grid,Wide Ruled Grid,1
Composition
Notebooks,Notebooks,Multiple
1- Large 3 -Ring,Large Ring,1
Pencil Pouch,Pencil Pouch,1
