;hes,hes,Multiple
1 - spiral notebook- wide ruled,spiral notebook wide ruled,1
"1 - 1"" 3 -ring, E -Z Ring binder, durable, clear view, white",ring Ring binder durable clear view,1
1 - ream copy paper,ream copy paper,1
1 - pack of dry erase markers -low-odor,pack dry erase markers low odor,1
1 - box ea. Ziploc Storage bags - sandwich & gallon size,box Ziploc Storage bags sandwich size,1
1 - box latex -free bandaids,latex free,1
1 - box forks (girls bring),forks,1
1 - box spoons (boys bring),spoons,1
8 - pkgs #2 pencils (pre -sharpened),pencils,8
BackPack (NO WHEELS)
Grade 4
"NIV, NASB, or ESV Bible recommended",Bible recommended,1
"1 - pencil case (fabric, no boxes)",pencil case,1
"5 - boxes, 12-ct pencils #2 (pre -sharpened)",boxes pencils,5
"1 - pkg, 8 -count Crayola",Crayola,1
"_ Y a Classic colors markers,",Classic colors markers,Multiple
washab
"le, fine tip",fine tip,1
4 - school glue sticks (no bottled glue),glue sticks,4
ace 4 - red pens 9 ),ace pens,9
1 - pair scissors,scissors,1
1 - pkg. 24-ct. Colored pencils,Colored pencils,1
1 - ruler (English and,ruler,1
"Metric),12"","
2 - pkgs notebook ) non folding,non folding,1
- p 9 pa (wide -ruled)
3 composition notebooks (non -spiral),composition notebooks,3
4 - notebook,notebook,4
s (spiral bo
"2 1"" 3 -ring, E -Z Ring binder, d",ring Ring binder,2
"7 -folders, plastic, _ urable, clear view, white",folders plastic clear view,7
"4 - 2 pocket, 3 -hole, assorted",pocket hole assorted,4
"book covers - JUMBO, stret colors"
"1 - box latex- free chable, assorted",latex free assorted,1
bandaids
1 - box disinfecting wipes,disinfecting wipes,1
1 - box tissuesp
Back Pack
gra_dgl
"NIV, Bible NASB, or ESV"
"-1 , „ recommended",recommended,1
/z 3 -ring binder
2 - of 5 - pocket dividers,pocket dividers,2
Era p (to section Erasers,Era,1
binder),binder,1
"1 - pencil ca rfnk l.L.,‘"
