Math Supplies
• 2 Graphing,Graphing,2
Notebooks,Notebooks,Multiple
• 1 Box of #2
pencils,pencils,Multiple
• 16 inch Ruler,inch Ruler,16
• Index cards,Index cards,Multiple
• Erasers,Erasers,Multiple
• 2 Folders,Folders,2
DUE: Thursday,DUE Thursday,1
September 7 2017
Science Supplies
• 2 Folders,Folders,2
• 1 Notebook,Notebook,1
• 1 Binder,Binder,1
• Post -its,Post its,1
• Index cards,Index cards,Multiple
• Pencils,Pencils,Multiple
• Pens,Pens,Multiple
• Highlighter,Highlighter,1
Social Studies
Supplies
• 2 Notebooks,Notebooks,2
• 2 Folders,Folders,2
• Pens,Pens,Multiple
• Post -its,Post its,1
• Index cards,Index cards,Multiple
• Colored,Colored,1
Pencils,Pencils,Multiple
ELA Supplies
• 3 Folders:,Folders,3
"1 Red,",Red,1
"1 Yellow,",Yellow,1
1 Green,Green,1
• Post -its,Post its,1
• Highlighters,Highlighters,Multiple
• Pens,Pens,Multiple
• Pocket,Pocket,1
dictionary (Dual
Language),Language,1
• 1 Notebook,Notebook,1
• 1 USB Flash,Flash,1
storage device,storage device,1
• Colored Pencils,Colored Pencils,Multiple
• Binder Rings,Binder Rings,Multiple
D'JE. Monday,Monday,1
September 11`.2017
Homeroom Supplies,Homeroom,1
• 2 Boxes Facial Tissues,Facial Tissues,2
• 2 paper Towels,paper Towels,2
• Antibacterial wipes,Antibacterial wipes,Multiple
• 1 Antibacterial Hand Sanitizzer,Antibacterial Hand,1
• 2 packages of Printing Pap,Printing Pap,2
er
• Headp
Art supplies
• 2 packages
of baby,baby,1
wipes,wipes,Multiple
• 1 box of
pencils,pencils,Multiple
• 1 package of
printing,printing,1
paper,paper,1
• 1 package of
erasers,erasers,Multiple
• sharpener,sharpener,1
• 1 package of
glue sticks,glue sticks,Multiple
• 1 package of
paper towels,paper towels,Multiple
Science Laboratory Supplies,Science Laboratory,1
• i package of paper towels,paper towels,Multiple
• 1 box of tissues,tissues,1
• 1 package of Antibacterial wipes,Antibacterial wipes,1
i
