Supply List - 2017-2018 School Year - upaatea June,2017 2018 Year,1
1
1
12
1
4
1
"Mead® Five Star® Pocket Folders, Assorted Colors",Mead Five Star Pocket Folders Assorted Colors,1
Crayons - Box of 24,Crayons,24
._� Paper Mate® Woodcase Pencils w/ Erasers,Paper Mate Erasers,Multiple
rtf•ftv/ Hefty® Slider Bags,Hefty Slider Bags,Multiple
";., , Elmer's Glue Stick",Elmer Glue Stick,1
Puffs Facial Tissues,Puffs Facial Tissues,Multiple
"1 Scissors 5"" Kids - blunt/rounded",Scissors Kids blunt rounded,1
2 Erasers,Erasers,2
2 fro EXPO Dry Erase Markers,fro EXPO Dry Erase Markers,2
1 Markers - Box(es),Markers Box,1
"3 mod Mead® Five Star® Composition Notebook Wide Ruled, Bound",mod Mead Five Star Composition Notebook Wide Ruled Bound,3
"2 rrbc,d Mead® Five Star® Spiral Notebook Wide Ruled",Mead Five Star Spiral Notebook Wide Ruled,2
1 School Box
1 Clorox Disinfecting Wipes,Clorox Disinfecting Wipes,1
1 Elmer's Glue Bottle,Elmer Glue,1
1 Colored Pencils - Box of 8,Colored Pencils,1
