2 Packs of pencils,pencils,2
2 Boxes of crayons,crayons,2
4 Composition books,Composition books,4
Pencil box/Penci Pouch,Pencil box Pouch,1
2 Heavy duty folders,Heavy duty folders,2
Flat clipboard,Flat clipboard,1
Scissors (fiskars),Scissors,Multiple
EXTRA ITEMS NEEDED:,EXTRA NEEDED,1
Headphones,Headphones,Multiple
3 packs loose leaf paper,pack loose leaf paper,3
Paper towels,Paper towels,Multiple
Sanitizer,Sanitizer,1
Sanitizer wipes,Sanitizer wipes,Multiple
Tissues,Tissues,Multiple
Erasers,Erasers,Multiple
Fat glue sticks 3-4,Fat glue sticks,4
Coloring pencils
Quart size ziplocs
Dry Erase Markers,Dry Erase Markers,Multiple
Ex Do markers,markers,Multiple
Index Cards,Index Cards,Multiple
