2 Packs
6
3 Boxes
1 Box
1Box
1 Box
12
1 Pair
2-4
1 Large,Large,1
1 Ream,Ream,1
1 Package
1
2
2
1-9x12'
2' Binder,Binder,2
Composition Notebook,Composition Notebook,1
College Rule Spiral Notebook,College Rule Spiral Notebook,1
College Rule Lined Loose Leaf Paper,College Rule Lined Loose Leaf Paper,1
2 -Pocket Folders,Pocket Folders,2
Kleenex,Kleenex,1
Crayola Crayons (24 Count),Crayola Crayons,Multiple
Markers,Markers,Multiple
Colored Pencils,Colored Pencils,Multiple
$2 Yellow Pencils,Yellow Pencils,2
Scissors,Scissors,Multiple
Glue Sticks,Glue Sticks,Multiple
Disinfecting Wipes
White Copy Paper,White Copy Paper,1
Dry Erase Markers,Dry Erase Markers,Multiple
Folder for Theatre,Folder,1
Highlighter for 'Theatre,Highlighter,1
Fine Point Black Sharpie Marker for Art Class,Fine Point Black Sharpie Marker,1
Spiral Sketchbook for Art Class,Spiral Sketchbook,1
•
