wiz 5
"2 T,r notebooks",notebooks,2
3 packages a post —its (3x3),post its,3
2 large glue s-hcks,large glue,2
2 packs a dry erase markers,pack dry erase markers,2
1 box a -hssues
I set head phones wrih,head phones,Multiple
microphone (examples),microphone,1
2 boxes a pencils,pencils,2
1 +ub o4 Clorox wipes,Clorox wipes,1
Two —pocket Folder:,Two pocket Folder,1
1 green (plastic/vinyl)
1 red (plastic/vinyl)
1 any print (any material),any print,1
The Collowina 'ems will be collected Por cnmmon use in The classroom—
• 1 box colored pencils,colored pencils,1
• 1 box markers (8 pack),markers,1
• 1 box crayons (1(o pack),crayons,1
A pencil case +o keep your child o a (Please choose a sad' —sided
zippered case since The g cases -make up too much space
hard (box �-ype)
and are constanTly Palling o4/{- -}heir desks.)
