We are very excited about the opportunity to get to
pp y
forward to a happy and productive 2017-2018 scho
"As your child enters the first grade, he/she will nee("
a successful and productive school year.,successful and productive year,1
• 1 box of #2 pencils sharpened,pencils sharpened,1
• 2 boxes of tissues `/,tissues,2
• 2 boxes of baby wipes,baby wipes,2
• 2 folders,folders,2
• 1 bottle of hand sanitizer,hand sanitizer,1
• 3 black and white composition notebooks,black and composition notebooks,3
• 1 box of crayons (use at home),crayons,1
"• 4 erasers,""",erasers,4
• 4 glue sticks/,glue sticks,4
• 1 roll of Bounty paper towel,roll Bounty paper towel,1
• 2 packs of white copy paper,pack copy paper,2
• 1 pack of colored pencils (z,pack colored pencils,1
1
0 ft
h
4
"n,._ _ i abr"
