6 Grade
•
pkg  felt,felt,1
• markers,markers,Multiple
12 No. 2 Pencils,Pencils,12
• 2 pink eras .,eras,2
J
• 2 glue sticks \,glue sticks,2
• 1 b#e-•
"• 1 pkg blue, black, and red pens",blue black and pens,1
• is calculator,calculator,1
• 1 pencil sharpener N,pencil sharpener,1
1 ruler,ruler,1
•-t-';1•'• i�•
folders,folders,Multiple
• 1 pair of scissors,scissors,1
• 1 pencil case,pencil case,1
• 2 pkg lined notebook paper,lined notebook paper,2
er
•
1 pkg subject dividers,subject dividers,1
• 3 highlighters,highlighters,3
