Basic School Supply List for 4th Grade
Backpack or School Bag,Backpack Bag,1
1 2 Box Kleenex,Kleenex,1
7 1 Pair Large Pointed Scissors,Large Pointed Scissors,7
1 1 Bottle Elmer's Glue,Elmer Glue,1
1 1 Packages Crayola Crayons,Crayola Crayons,1
7 2 Packages Colored Pencils,Colored Pencils,7
2 Packages of #2 Pencils,Pencils,2
7 4 Spiral Notebook,Spiral Notebook,7
4 Packs Wide -Ruled Pape,Wide Ruled,4
7 A 3 Ring Binder,Ring Binder,7
1 2 Erasers,Erasers,1
6 Pocket Folders,Pocket Folders,6
1 Pencil Bag or Plastic School Suppi,Pencil Bag Plastic,1
"1 1 12"" Ruler",Ruler,1
7 Anti -Bacterial Soap,Anti Bacterial Soap,7
1 Box Ziploc Bags- Gallon Size,Box Ziploc Bags Size,1
