1ST GRA DE Supp List,Supp,1
Welcome to First Grade• Our back to school supply list includes
"Unsharpened, Dz.",Unsharpened,1
"1 Dixon Pencils, #2,Ticonderoga,",Dixon Pencils Ticonderoga,1
"2 - Erasers, Pink, Large, Latex Free",Erasers Pink Large Latex Free,2
"2 - Crayola Crayons, 24/Box",Crayola Crayons Box,2
"2 - Crayola Markers, Washable, Classic Colors, Wide Tip, 10/Set",Crayola Markers Washable Classic Colors Wide Tip Set,2
5 - Glue Sticks,Glue Sticks,5
"1 - Scissors, 5"", Pointed Tip,",Scissors Pointed Tip,1
"2 - Folders, 2 Pocket, Blue and Red",Folders Pocket Blue and Red,2
"2 - Expo 2 Marker, Dry Erase, Chisel Tip, Low Odor, Black",Expo Marker Dry Erase Chisel Tip Low Odor Black,2
"2 - Expo 2 Marker, Dry Erase, Fine Tip, Low Odor, Black",Expo Marker Dry Erase Fine Tip Low Odor Black,2
"2 - Paper Towels, Roll, 2 Ply",Paper Towels Roll Ply,2
3 - Facial Tissue,Facial Tissue,3
"1 - Hand Sanitizer, Antibacterial, Gel, Flip Top, 8 oz.",Hand Sanitizer Antibacterial Gel Flip Top,1
1 - Clorox Wipes,Clorox Wipes,1
"1- Storage Bags, Economy Zip, Gallon",Storage Bags Economy Zip,1
"1- Storage Bags, Economy Zip, Sandwich",Storage Bags Economy Zip Sandwich,1
Academics,Academics,Multiple
