2 - sub•ect notebooks,sub notebooks,2
4 Marb e composition notebooks,composition notebooks,4
5 p' astic fo ders 1;2 pockets:,pockets,5
1 box 1;72 penci sit of #2 )ixon Ticonderoga p,Ticonderoga,1
1 box of ›aper Mate or 3ic ue or b,aper Mate,1
1 1 box Crayo a co ored penci s
1 1 'oox Crayo a crayons 1;24 pack),crayons pack,1
1 box Crayo la markers,markers,1
A ream 1;500 sheets of white copy paper
"3 packs of loose-leaf paper 1,3 ring')",pack loose leaf paper ring,3
2 thick glue sticks,thick glue sticks,2
1111 2 highlighters,highlighters,1111
1 pack of Expo Markers,pack Expo Markers,1
lit 1 pack of black Sharpies (regular ti,lit pack Sharpies,Multiple
p)
Ilk 1 box of Ziploc freezer gallon size,Ilk box Ziploc freezer size,1
• 2 Clorox Disinfecting wipes,Clorox Disinfecting wipes,2
d 1 bottle of Clorox Green Works,Clorox Green Works,Multiple
* 1 kitchen sponge,kitchen sponge,1
* 1 pack of index cards Irregular size),pack index cards Irregular size,1
• Post -its,Post its,1
* Anti -bacterial hand soap,Anti bacterial hand soap,1
* 2 boxes tissues,tissues,2
▪ 2 roils of paper towels,roils paper towels,2
* 2 rolls of Scotch tape,rolls Scotch tape,2
.L ■�._ _..•11 1
a
•/ w . • . •
▪ is a : -
