317-2018 SCHOOL SUPPLY LIST Updated 6/2/2017,Updated 2017,317
ee information listed in the box below.,information listed the,1
FOURTH GRADE
1- Re Dual Purpose 20 wt. Paper (Xerox/Computer) (500 ct.),Dual Purpose Paper Xerox Computer,1
2 - Packages 300 ct. Standard Rule M4vbook Paper - Wide Rule (writing grade),300 Standard Rule Paper Wide Rule,2
"5 - Plastic Folders with Brads & Pockets - blue, red, green, yellow, orange",Plastic Folders,5
48 - No. 2 Pencils - * Ticonderoga Brand Preferred,Pencils Ticonderoga Brand Preferred,48
2 - Pink Erasers,Pink Erasers,2
1 - No. 24 Box Crayola Crayons Preferred,Crayola Crayons Preferred,1
2 - Colored Pencils -12 count,Colored Pencils,2
2 - Yellow Highlighters,Yellow Highlighters,2
1-12 X18 White Construction Paper,White Construction Paper,1
5 - Black Marble Composition Book,Black Marble Composition Book,5
1- Large Elmer's Glue Sticks,Large Elmer Glue Sticks,1
2 - Boxes Kleenex,Kleenex,2
1- Container Lysol Wipes 1- Black Tip Expo Markers (chisel 4 pack),Container Lysol Wipes Black Tip Expo Markers,1
1- Elmer's Glue Bottle,Elmer Glue,1
1- Pair of Scissors,Scissors,1
