"Z On or over the ear headphones: good brands are Kidzgear, ifragz, Disney, Lil Gadget (Please label"
with student name) - Not Supplied by School Supply Company,Not Supplied Company,1
htg lwww.soundauvs.com best -headphones -for -kids -6730/,best headphones,6730
ag.tfwww-macwond.comlarticlef2474§981sma11-heads-safe-ears-the-hest-headphones-for-kids. htd.
4 Dry Erase Expo Markers,Dry Erase Expo Markers,4
1 Soft zippered penal pouch (no hard cover penal boxes),Soft zippered penal pouch,1
2 Wide rule Composition Books,Wide rule Composition Books,2
1 Soft zipper pencil pouch (no hard cover cases please),Soft zipper pencil pouch,1
1 Paper Mates 1.3mm Mechanical Penal Starter Set,Paper Mates Mechanical Penal Starter,1
1 1.3mm Lead,Lead,1
1 box of #2 sharpened pencils,sharpened pencils,1
2 boxes *2 pencils (please label art),pencils,2
1 Box Crayola markers,Crayola markers,1
1 Box of wed pencils,wed pencils,1
1 Box/12 colored pencils (please label art),Box colored pencils,1
1 Sharp pointed kids scissors,Sharp pointed kids scissors,1
1 pink eraser,eraser,1
"5 Pjastic Folders w/pockets red, yellow, blue, green, orange (no prongs)",pockets red yellow blue green,5
1 Package 3 x 3 Sticky Notes,Sticky Notes,1
1 Packngli 4 x 6 Sticky Notes,Sticky Notes,1
1 Inch/Centimeter Ruler,Inch Centimeter Ruler,1
1 Package of 200 count wide -ruled Loose Leaf Notebook paper,200 wide ruled Loose Leaf Notebook paper,1
1 box of Kleenex,Kleenex,1
1 package of 3x5 index cards,index cards,1
"1 3 -Ring Binder (1"", any color)",Ring Binder,1
Last names A -L,Last names,Multiple
1 bottle hand sanitizer (8 oz. size or larger),hand sanitizer,1
1 box sandwich size ziplock bags,sandwich size ziplock bags,1
)` 1 box bandaids
1 package Windex Wpes
Last Names M -Z,Last Names,Multiple
1 Container Disinfectant Wipes,Container Disinfectant Wipes,1
1 box gallon size zipiock bags,box size bags,1
1 roll dear packing tape,roll dear packing tape,1
1 Package Wet/Baby wipes,Wet Baby wipes,1
*All supplies will be collected and shared except for headphones and clipboards. There s no need to >abe1
other supplies.
1
