"‘‘,1"
Gr-gde Cor_e List
1 Plastic Pencil Box or Locker Gear zipper closure (more durable),Plastic Pencil Locker Gear zipper closure,1
1 Blue Marble composition book 100 ct,Blue Marble composition book 100,1
1 Red Marble composition book 100 ct,Red Marble composition book 100,1
2 Black Marble composition book 100ct,Black Marble composition book,2
1 Green Marble composition book 100 ct,Green Marble composition book 100,1
1 Colored pencils- 24 count,Colored pencils,1
"3 Erasers, Hi -Polymer (Pentel)",Erasers Polymer,3
1 Red plastic 2 -pocket folder - Math,Red plastic pocket folder,1
1 Orange plastic 2 -pocket folder - Spanish,Orange plastic pocket folder Spanish,1
1 Purple plastic 2 -pocket folder - Social Studies,Purple plastic pocket folder Social Studies,1
1 Yellow plastic 2 -pocket folder - Take Home,Yellow plastic pocket folder Take Home,1
1 Green plastic 2 -pocket folder - Science,Green plastic pocket folder Science,1
1 Blue plastic 2 -pocket folder - ELA,Blue plastic pocket folder,1
**All folders shou/d not contain brass fasteners**
"1 blue Stick, washable (large or 2 small)",Stick washable,1
"8 Yellow highlighters, Sharpie Chisel",Yellow highlighters Sharpie Chisel,8
1 Package of lined 3 x 5 white index cards,lined index cards,1
"1 Colored markers, washable - 8 count",Colored markers washable,1
1 Roll paper towels,Roll paper towels,1
24 #2 pencils (No mechanical pencils other than Paper Mate Sharp Writer,pencils,24
"\y, 1 pencil sharpener",pencil sharpener,1
3 Green ball point pens,Green ball point pens,3
2 Black or blue pens,Black pens,2
2 Sharpie Black dual tip markers,Sharpie Black dual tip markers,2
"3 Packages Post -Its (3""x 3"")",Post Its,3
1 Poll of invisible tape in dispenser,Poll invisible tape dispenser,1
1 Box of tissues,tissues,1
2 Box of gallon size Ziploc style bags,Box size Ziploc style bags,2
2 Box of quart size Ziploc style bags,quart size Ziploc style bags,2
*** Addition/ Items ALL q5tudents Need (Not in PTA Supply List)***
1 Durable folder of your choice - X -Period,Durable folder your choice Period,1
1 Ear Buds (Your choice - Choose what is most comfortable),Ear Buds,1
"1 Pair 5"" scissors",scissors,1
"1 12"" plastic ruler",plastic ruler,1
1 Tote Bag - To carry books and materials from class to class,Tote Bag carry books and from class class,1
;I
