RRMS Eighth Grade Suoaly List 2014-2015,4,2015
Supplies Needed for All Classes Kleenex (optional),Needed,1
"loose leaf paper. colored pencils. #2 pencils. pens, red pens. highlighters,",loose leaf paper colo pencils pencils pens pens highlighters,1
"Enai,sh"
accordion folder (four or more sections),accordion folder,1
sharpies,sharpies,Multiple
Amencan History
3 ring binder (minimum 11,ring binder,3
3 x 5 Index cards,Index cards,3
1 subject spiral notebook,subject spiral notebook,1
3th arade math
A 1'4-2 inch binder,inch binder,1
4 Dry derS,Dry,4
"Hole reinforcers (optional, yet recommended)",Hole,1
Graph Paper,Graph Paper,Multiple
TI -83 or TI -84 (plus & silver edition is accepted)
An EXTRA supply of 4 AAA batteries OR urging cord
A non -graphing. scientific calculator (TI-3OXIIS is a good one
R uler
Dry erase marker,Dry erase marker,1
Scissors,Scissors,Multiple
Tape,Tape,1
-
Ataebra 1
A 1 2 inch binder,inch binder,1
4 Devi ders,Devi,4
"Hole rernfrrcers (optional, yet recommended)",Hole,1
Graph: Paper,Graph Paper,Multiple
TI -83 or T1-84 graphing calculator (plus &. silver edition is accepted)
An EXTRA supply of 4 AAA batteries OR charging cord
"A non -graphing, scientific calculator (TI -30X14 is a good one,"
Ruler,Ruler,1
Dry erase mar r,Dry erase mar,1
Scissors,Scissors,Multiple
Tape or Glue stick,Tape Glue stick,1
An EXTRA LARGE boilconeither cloth or paper ba ` similar material),EXTRA LARGE cloth paper similar,Multiple
Honors Geometry
"A 1',r2 inch binder",inch binder,1
5 dividers,dividers,5
"Hole Reinfarcers (optional., yet recornrriencfed)",Hole,1
Graph Paper,Graph Paper,Multiple
ruler,ruler,1
"protractor""",protractor,1
cvrnpass
T1-83 or Tt-84 graphing calculator (plus & sib edition is ac pte )
An EXTRA supply of 4 AAA batteries OR cgirig cord,EXTRA AAA batteries cord,Multiple
An EXTRA LARGE book clowt(e er cokh or paper bag or miler mlalteriail),EXTRA LARGE book,1
