Miss Yee's Class 2011-2018,Miss Class 2011,2018
Fourth Grade Recohnnnehded Supply List
"• 4 - 2 pocket duo -tang folders (1 of each color: green, yellow, red, black)",pocket duo tang folders,4
• 1- Purple spiral notebook (2 subject),Purple spiral notebook,1
• 1- Blue composition notebook (1 subject),Blue composition notebook,1
• 1- yellow composition notebook (1 subject),composition notebook,1
• Pencils (12 pack),Pencils,Multiple
• • 2 highlighters (any color) •,highlighters,2
• Pens (at least 2),Pens,Multiple
• 3 Large glue sticks,Large glue sticks,3
• Colored pencils (12 pack),Colored pencils,Multiple
• Markers (12 pack),Markers,Multiple
• Erasers (eraser caps and 1 big pink eraser),Erasers,Multiple
"• 1 pair of scissors (5"")",scissors,1
• 2 pack Post -it notes (3x3),pack Post notes,2
• Zipper Pouch to hold supplies (ho boxes please),Zipper Pouch hold,1
Classroom dohatiohs are appreciated for the foliow1h9 items:
• Clorox Wipes,Clorox Wipes,Multiple
• Kleenex,Kleenex,1
• Hand soap,Hand soap,1
• Ziploc bags (sandwich and gallon),Ziploc bags,Multiple
• EXPO Dry erase markers,EXPO Dry erase markers,Multiple
• Band-aids,Band aids,Multiple
• Pehcil cap erasers,cap erasers,Multiple
Please let me know if you have any other questions or concerns at:
ehnlly.yeeelahsih9schools.het
