LSUIlLY L.i
FOURTH GRADE
1 ON THE EAR ADJUSTABLE BAND HEADPHONES,THE EAR ADJUSTABLE BAND HEADPHONES,1
WIDE RULE RED MARBLE COMPOSITION BOOK 100CT,WIDE RULE RED MARBLE COMPOSITION BOOK,1
"�,.r• 1 WIDE RULE GREEN MARBLE COMPOSITION BOOK 100CT",WIDE RULE GREEN MARBLE COMPOSITION BOOK,1
",�... 1 WIDE RULE BLUE MARBLE COMPOSITION BOOK 100CT•",WIDE RULE BLUE MARBLE COMPOSITION BOOK,1
1 WIDE RULE PURPLE MARBLE COMPOSITION BOOK 100CT,WIDE RULE PURPLE MARBLE COMPOSITION BOOK,1
..-1 WIDE RULE BLACK MARBLE COMP BOOK 100CT,WIDE RULE BLACK MARBLE COMP BOOK,1
1 3SUB WIDE RULE SPIRAL 8.5X10.5 NOTEBOOK 120CT,WIDE RULE SPIRAL NOTEBOOK,1
3 ELMER'S 0.77 OZ PURPLE WASHABLE GLUE STICK,ELMER PURPLE WASHABLE GLUE STICK,3
3 SCO i i IES TISSUE 120CT,TISSUE,3
36 NO2 DIXON TICONDEROGA PRESHARPENED PENCIL,DIXON TICONDEROGA PENCIL,36
1 CRAYOLA WASH THICK CLASSIC MARKERS 8CT,CRAYOLA WASH THICK CLASSIC MARKERS,1
"1 CRAYOLA 7"" COLORED PRESHARPENED PENCILS 12CT",CRAYOLA COLORED PENCILS,1
2 PAPERMA I t BLACK FLAIR MED FELT TIP PEN,BLACK FLAIR MED FELT TIP PEN,2
1 RED PLASTIC POCKET FOLDER,RED PLASTIC POCKET FOLDER,1
1 ORANGE PLASTIC POCKET FOLDER,ORANGE PLASTIC POCKET FOLDER,1
1 GREEN PLASTIC POCKET FOLDER,GREEN PLASTIC POCKET FOLDER,1
1 YEI- LOW PLASTIC POCKb I FOLDER,LOW PLASTIC FOLDER,1
1 BLUE PLASTIC POCKt 1 FOLDER,BLUE PLASTIC FOLDER,1
1 WHITE PLASTIC POCKET FOLDER,WHITE PLASTIC POCKET FOLDER,1
6 3X3 HIGHLAND YELLOW NOTES 1 PAD 100SHTS,HIGHLAND YELLOW NOTES PAD,6
2 SHARPIE BLACK FINE MARKER 1 EA,SHARPIE BLACK FINE MARKER,2
1 BOX OF RECLOSABLE GALLON BAGS-20CT,BOX BAGS,1
"1 BLUNT 5"" SCISSORS",BLUNT SCISSORS,1
1 FLUORESCENT YELLOW HIGHLIGHTER,FLUORESCENT YELLOW HIGHLIGHTER,1
2 PINK BEVEL ERASER 'LATEX FREE),PINK BEVEL ERASER LATEX FREE,2
