2017-2018 Intermediate School,Intermediate,2017
6t Grade Student Supply List
1. 2 Packages Wide -Ruled Loose-leaf Paper,Wide Ruled Loose leaf Paper,1
2. 1 Pack Graph Paper,Pack Graph Paper,2
3. 3 Glue Sticks,Glue Sticks,3
4. 1 Four -Pack of Dry Erase Markers with Eraser,Four Pack Dry Erase Markers,4
5. 1 Pack of Dividers (8-10) with Tabs,Pack Dividers,5
6. 1 Pack of Pencils,Pack Pencils,6
7. 1 Pencil Pouch,Pencil Pouch,7
8. Earphones or Ear Buds,Earphones Ear Buds,8
9. English:,English,9
"a. One 1"" three-ring binder, with pockets",One three ring binder,1
b. One 1 subject spiral notebook,One subject spiral notebook,1
c. Two plastic folders with pockets,Two plastic folders,Multiple
d. One composition notebook,One composition notebook,1
10. Science:,Science,10
a. One 1 inch binder with pockets,One inch binder,1
b. Four composition notebooks,Four composition notebooks,Multiple
c. One pack of 25 sheet protectors,One pack sheet protectors,Multiple
11. Math:
a. One 1 inch binder,One inch binder,1
b. One composition notebook,One composition notebook,1
12. Social Studies:,Social Studies,12
a. One 1 inch binder,One inch binder,1
b. One 1 subject spiral notebooks,One subject spiral notebooks,Multiple
13. Spanish:,Spanish,13
a. One plastic folder with pockets and prongs,One plastic folder,1
b. One glue stick,One glue stick,1
c. One 18 -count Crayola markers,One Crayola markers,Multiple
