GRADE 2
"� 2 box of crayons, 24 count",crayons,2
` I 48 #2 sharpen
e
( d 1 2 pink erasers pencils with erasers,erasers pencils,Multiple
-�
n 1 pencil sharpener with cover,pencil sharpener,1
EJ 6 large glue sticks,large glue sticks,Multiple
�) 1 ruler with centimeter and inch markings,ruler,1
"ri 1 scissors, blunt tip"
C11 6 composition notebooks,composition notebooks,Multiple
"Ll 2 pkg, notebook paper, (wide -ruled)",notebook paper,1
�r) 8 2 -pocket plastic folders,pocket plastic folders,8
Li 2 Lysol/Clorox wipes,Lysol Clorox wipes,Multiple
El 2 large boxes facial tissue,large facial tissue,Multiple
n 2 bottles hand sanitizer,hand sanitizer,Multiple
"I,: 12 expo dry -erase markers",expo dry erase markers,Multiple
"n 2 box Ziploc bags, quart"
"[111 1 box Ziploc bags, gallon",box Ziploc bags,111
"[ 1 2 -inch, 3 -ring binder",inch ring binder,1
LTJ 1 earbud headphones,earbud headphones,Multiple
"' 1 box of colors, 48 count *",colors,1
L
"1 pkg. colored pencils, 12 count *",colored pencils,1
1 pkg. 4 pack glue sticks *,pack glue sticks,1
