Grade: 3 .
CRAYOLA COLORED PENCII S PRE -SHARPENED 12CT,CRAYOLA COLORED SHARPENED,1
CRAYOLA CRAYONS 24.T,CRAYOLA CRAYONS,Multiple
PENCILS #2 YELLOW WOODCASE SHARPENED 12CT (5),PENCILS YELLOW SHARPENED,Multiple
CRAYOLA WASH MARKERS BROAD TIP C LASS I C COLORS ACT
SHARPIE PERM MARKER FINE POINT BLACK,SHARPIE PERM MARKER FINE POINT BLACK,1
SHARPIE PERM MARKER CHISEL TIP BLACK,SHARPIE PERM MARKER CHISEL TIP BLACK,1
ELMER'S SMALL GLUE STICK PURPI E -DRIES CLEAR r$'4,ELMER SMALL GLUE STICK DRIES CLEAR,4
"FISKARS SCISSORS POINTED 5""",SCISSORS POINTED,5
2 -POCKET FOLDER POLY W/OUT CLASP ORANGE,POCKET FOLDER OUT CLASP ORANGE,2
2 -POCKET FOLDER POLY W/OUT CLASP BLUE,POCKET FOLDER OUT CLASP BLUE,2
2 -POCKET FOLDER POLY W/OUT CLASP PURPLE,POCKET FOLDER OUT CLASP PURPLE,2
2 -POCKET FOLDER POLY W/OUT CLASP GREEN,POCKET FOLDER OUT CLASP GREEN,2
MEAD COMPOSITION BK ;WIDE RULE'I BLK 100CT 9.75X7.5 M,MEAD COMPOSITION WIDE RULE,1
PAPERMATE PEN STICK MED PT RED (2),PEN STICK MED RED,1
EXPO LOW ODOR DRY ERASE MARKER CHISEL TIP BLACK (4)
PAPERMATE PEN STICK MED PT BLUE (2),PEN STICK MED BLUE,1
•SELF STICK NOTES ASS'T PASTEL 3X3 ].00CT(4)
PAPERMATE PINK PEARL LATEX -FREE ERASER (3),PINK PEARL LATEX FREE ERASER,1
STENO PAD GREGG RULE WHITE PAPER 80CT 6X9,STENO PAD GREGG RULE WHITE PAPER,1
