21)17 - 2018
Fifth Grade
1 black binder (1 inch),binder,1
3 composition notebook — wide rule,composition notebook wide rule,3
1 pack of graph paper 8% X 11% inch,pack graph paper inch,1
1 bottle of hand sanitizer,hand sanitizer,1
4 three pronged plastic folders with pockets,three pronged plastic folders,4
3 one subject wide ruled notebooks,one subject wide ruled notebooks,3
2 boxes of tissue paper,tissue paper,2
1 package of post it notes,post notes,1
1 package of highlighters,highlighters,1
1 box of markers — no thin markers,markers thin markers,1
"1 box of color pencils ""Twistable""",color pencils,1
1 pack of blue or black pens,pack blue pens,1
1 pack of red pens,pack pens,1
2 packages of # 2 pencils (preferably,pencils,2
mechanical or Ticonderoga brand),mechanical Ticonderoga brand,1
1 package of pencil type erasers,pencil type erasers,1
1 packs of binder dividers,pack binder dividers,1
2 packagesof loose leaf paper (wide ruled),loose leaf paper,2
1 pencil sharpener with dispenser,pencil sharpener,1
2 glue sticks,glue sticks,2
1 pair of scissors,scissors,1
1 pencil case with holes (large pouch) no boxes,pencil case,1
1 flash drive (1GB),flash drive,1
1 large pack of EXPO markers,large pack EXPO markers,1
• If additional supplies are needed your c
• Si se necesitan materiales adicionales i
