rr IJv WoolIvVIZtol
ho Merin Intermediate p Grade Supply List 2,Intermediate,2
Please note- ALL supplies *IA be chstriputed for ciao ‘Jorn use.
Please do not i supplies.
• 2-3 boxes of tissues (Kleenex),tissues,2
a ' Hand soap,Hand soap,1
• 4 two -pocket folders with prongs,two pocket folders,4
'a 1 bottle of liquid glue,liquid glue,1
• 4 composition books,composition books,4
• 2 highlighters,highlighters,2
• 2 packages dry erase markers,dry erase markers,2
"1 pac'k.age colored pencils, crayons, and",age colored pencils crayons,1
markers'',markers,Multiple
�► Hand held sharpener,Hand held sharpener,1
"a 1 p ,. ncil pouch (no boxes, please)"
• 3 . ecka'ges loose leaf paper,loose leaf paper,3
"• ear.'aud,s",ear,1
• 1 package erasers,erasers,1
• 1 borde hand sanitizer,hand sanitizer,1
• 3 packs of number 2 pencils,pack number pencils,3
• 6 glue sticks,glue sticks,6
• scissors,scissors,Multiple
• 1 box rip -lock bans (1 qt or 1,rip lock bans,1
gap
• 1 package red pens,pens,1
• 1 of each black or blue pen,each black pen,1
• Clorox wipes,Clorox wipes,Multiple
ountin 'intgrm$diate School = Grade Suooly Dist 2017 -?018,Dist 2017,018
Please note- ALL supplies will be distributed for clxwoom
Please do not label supplies.
• 2-3 boxes of tissues (Kleenex),tissues,2
• Hand soap,Hand soap,1
• 4 two -pocket folders with prongs,two pocket folders,4
• 1 bottle of liquid glue,liquid glue,1
• 4 composition books,composition books,4
• 2 highlighters,highlighters,2
s 2 packages dry erase markers,dry erase markers,Multiple
"• 1 package colored pencils, crayons, and",colored pencils crayons,1
markers,markers,Multiple
• Hand held sharpener,Hand held sharpener,1
"• 1 pencil pouch (no boxes, please)",pencil pouch,1
• 3 packages loose leaf paper,loose leaf paper,3
• ear buds,ear buds,1
• 1 pact ace erasers,pact ace erasers,1
• 1 b sue hand sanitizer,sue hand sanitizer,1
• 3 packs of number 2 pencils,pack number pencils,3
• 6 glue sticks,glue sticks,6
• sci_«?rs,sci,1
• 1 box zip -look bags (1 qt or 1,zip look bags,1
gan
• 1 package red pens,pens,1
• 1 of each black or blue pen,each black pen,1
• Clorox wipes,Clorox wipes,Multiple
