••oo(- AT&T LTE 9:54 AM
0 core-docs.s3.amazonaws.com,core docs,1
7 � 63'KMJ•
xeboolk
notes for pegs,notes,Multiple
ui but not
book,book,1
•2( )
nd/graph POW,graph POW,1
as (3.0 4 -pack)
sticks (2 will be,sticks,Multiple
;morn),morn,1
book,book,1
Esh Language Arts,Language,1
• 1 - 100 sheet Composibon,sheet,1
notebook (College Ruled),notebook,1
• 1 5 Bader with 5 dividers
• 1 pack of notecards (lined),pack,1
U.S. tilistory
• 1 - t sutted r sbootk
• 1 Folder,Folder,1
Math: Core Connections 3 (CCM,Core Connections,3
• SC* nVic calculator,calculator,1
• 2 - Composition gndigraph pair,Composition,2
notebooks,notebooks,Multiple
• 3' x 3' Post -It notes ( 3- or 4 -pack),Post notes,3
• Mulb-pack of glue sticks (2 be,pack glue sticks,Multiple
kept in math classroom),kept classroom,1
WOE Algebr41,WOE,1
• Scientific calculator,Scientific calculator,1
• 1 brown papef grocery bag to,grocery bag,1
cover textbook,cover textbook,1
• Clear 12-sn ruler,Clear ruler,1
"• 1 tablet or package of '/. x 'A""",tablet,1
graph paper (spiral discouraged),graph paper,Multiple
• 1 sturdy 2-3 subject spiral,sturdy subject spiral,1
notebook,notebook,1
Science
• Composibon notebook,notebook,1
PhyEd
"a shorts, t -shot, • School appropriate shorts. t -shirt.",shorts shot appropriate shorts shirt,Multiple
