"1.5"" red binder",binder,1
"2"" red binder",binder,2
"; 2"" red binder",binder,2
; 2 = 4 tab dividers,tab dividers,2
"2 6"" rulers",rulers,2
TI -34 multiview calculator,calculator,1
TI -4+ graphing calculator
"3 1.5"" yellow binders",binders,3
t college ruled paper,college ruled paper,1
2 packs stick tabs,pack stick tabs,2
t 4 high lighters,high lighters,Multiple
3 5 tab dividers,tab dividers,3
y 2 yellow marble composition books,marble composition books,Multiple
1
"2 1.5"" blue binder",binder,2
"2 1.5"" green binders",binders,2
men notebook w/ folder
1 black bonder,bonder,1
white notebook w/ binder,binder,1
""""
"orangebinder .., ."
2 6 tab dividers,tab dividers,2
2 purple notebooks w/ folder,folder,2
white t -shirt,shirt,1
small pack fabric markers,small pack fabric markers,Multiple
composition book w/ graph paper,composition graph paper,Multiple
24 pack pencils,pack pencils,24
8 box markers,markers,8
"12"" runer"
orange notebook,notebook,1
colored pencils,colored pencils,Multiple
wide ruled paper,wide ruled paper,1
scientific calculator,scientific calculator,1
