Stone Academy Kindergarten 2017-2018,Stone Academy Kindergarten 2017,2018
i
un
Backpack - NO wheels please
Boxes of 64 Cravola Brand Crayons,Brand Crayons,Multiple
Box of Washable Markers (Broad Line ),Washable Markers,Multiple
• 1 Box of Washable Markers (Thin Line),Washable Markers,1
• 1 Box of 4 Dry Erase Expo Markers,Dry Erase Expo Markers,1
• 12 Glue sticks,Glue sticks,12
• 24 Dixon Ticonderoga Pencils -SHARPENED PLEASE!,Dixon Ticonderoga Pencils SHARPENED PLEASE,24
• 1 Bottle Wet Elmer's School Glue,Wet Elmer Glue,1
• 1 Pair of round tip scissors,round tip scissors,1
• 3 Containers of baby wipes,Containers baby wipes,3
• 3 Containers of Clorox or Lysol antibacterial wipes,Containers Clorox Lysol antibacterial wipes,3
• 2 Boxes of Kleenex,Kleenex,2
• 2 Rolls of paper towels,Rolls paper towels,2
• 1 Box of Band-Aids,Band Aids,1
• 1 soft kitchen sponge (no scouring pads ),soft kitchen sponge,1
• 2 Boxes of 2 -Gallon size Ziplock bags,Gallon size Ziplock bags,2
• 1 Ream of White Copy Paper,Ream White Copy Paper,1
• 1 Small bottle of hand sanitizer (not individual size),Small hand sanitizer,1
*Please do not label any of the supplies*
