"7""' 8 P Grad Supply Llst",Grad,7
1 Heavy Duty Binder (for fokisrs and ppers),Heavy Duty Binder,1
5 Two Pocket Folders,Two Pocket Folders,5
1 marble copybook for Sconce Lab,marble copybook,1
1 marble copybook for Math,marble copybook,1
1 marble copybook for Span&i,marble copybook,1
Loose leaf or theme notebook,Loose leaf theme notebook,1
N2 Pencils,Pencils,Multiple
Blue/Black/Rd pens,Blue Black pens,Multiple
Highlighters,Highlighters,Multiple
Index cards,Index cards,Multiple
TI -74 Calculatx
M supplies as dewed (crans. colored p.ncs. scissors. glue. etc),dewed,1
