"AMiatitteAtt)g-lf """
apeardoka 41/
Kindergarten
Supply List
2 4 oz. bottles Elmer's Glue,Elmer Glue,2
1 box of 10 Classic broad tip Crayola markers,Classic broad tip Crayola markers,1
2 boxes of 24 regular size Crayola crayons,regular size Crayola crayons,2
12 #2 pencils,pencils,12
2 Sturdy folders with pockets,Sturdy folders,2
1 One inch three ring binder,One inch three ring binder,1
2 boxes of 250 count Kleenex,250 Kleenex,2
1 pair of Fiskar scissors,Fiskar scissors,1
1 4 pack Black Expo Dry Erase Markers,pack Black Expo Dry Erase Markers,1
1 Ziploc bags gallon size (boys only),Ziploc bags size,1
1 Ziploc bags quart size (girls only),Ziploc bags quart size,1
1 Large backpack labeled with child's name and large enough to carry
a Library Book - (No wneels),Library Book,1
"Please label All coats and oweaters, hats. ETC., with child's name"
