Third Grade
i
!
•
e
He p ones,ones,Multiple
.boob (W1E RUI FD - 70 pages,boob,1
1Foldiis
Binder,Binder,1
i► + ► c ok
",Pendis (Dxon Ticonderoga 1 nd"
'Crayons 1 4 Count),Crayons,Multiple
"aWa Marker x,10 Count)",Marker,1
j oIor ;i 4 ur r
basso 1,basso,1
onk
!
"a r a ,r"
Regular Smelt],Regular Smelt,1
2 Pink Eras,Pink Eras,2
1 Pend Shat'pen,Pend Shat pen,1
1 Ruler (inche ceign,Ruler,1
2 Yellow High1,Yellow,2
Red Pens,Red Pens,Multiple
2 Large Packs of I,Large,2
Paper,Paper,1
Pack of Brad,Pack Brad,1
acks of index,index,1
I
I
