Classroom,Classroom,1
•
• 2 black and white marbled composition books,black and marbled composition books,2
• 1 spiral notebook,spiral notebook,1
"• 3 plastic folders with prongs and pockets (red, yellow, green)",plastic folders,3
• 24 #2 pencils (Ticonderoga preferred),pencils,24
• 4 (24 count) boxes of Crayola crayons,Crayola crayons,4
• *1 (12 count) pack of Crayola colored pencils,pack Crayola colored pencils,1
• *1 (10 count) pack of thin tipped Crayola markers,pack thin tipped Crayola markers,1
• *1 (10 count) pack of thick tipped Crayola markers,pack thick tipped Crayola markers,1
• *1 pair of Fiskar blunt tip scissors,Fiskar blunt tip scissors,1
• 6 Elmer's glue sticks,Elmer glue sticks,6
• 1 bottle of Elmer's glue,Elmer glue,1
• 4 Expo Markers (any color),Expo Markers,4
• 1 (100 count) pack index cards,pack index cards,1
• 1 container of Clorox wipes,container Clorox wipes,1
e5at1:.+f __
"2"" Grade Supply List"
2017-2018
Art
• *2 full sized poster boards (any color) taped together on three sides to create a
portfolio to store student artwork,portfolio store artwork,1
• *8.5 x 11 or 9 x 12 spiral bound or hardcover sewn sketchbook (may use
previous year's sketchbook),previous year sketchbook,1
• 1 (3 pack) pink erasers,erasers,1
Soanish
• 1 (100 count) pack of unlined 3x5 white index cards,pack unlined index cards,1
