126.clayton.k12•ga.us
Firs; Grade Sup:DY List,Firs Sup,Multiple
1 Book Bag (no rolling bags),Book Bag,1
4 packs of ##2 pencils,pack pencils,4
Pack of crayons,Pack crayons,Multiple
1 pencil box,pencil,1
glue sticks,glue sticks,Multiple
1 pair of child scissors,child scissors,1
boxes of Kleenex,Kleenex,Multiple
1 bottle of lysol wipes/spray,wipes spray,1
2 bottles of hand sanitizer,hand sanitizer,2
pack Dry erase expo markers,pack Dry erase expo markers,1
Black and white composition notebooks,Black and composition notebooks,1
pack of index cards,pack index cards,Multiple
K -2nd grade Primary Journal Tablet stage 3,Primary Journal Tablet stage,3
