moo T -Mobile 1.,moo Mobile,1
2:58 PM
ps32statenisland.com
43%I
MIII
PrecM.....
w AJr.'. •
Cantos,Cantos,1
"Rtio,w:.."
RIP+aw...,RIP,1
PTA
r
updated June 2017,updated,2017
"1• sockpock. Sitgk Comportment, not a Duffle or a Tote. no Wheels. no flaps-...... or",Comportment not Tote Wheels flaps,1
Drawstrings,Drawstrings,Multiple
1• Luncbbas. Soh. for children who bring lunch tram boast
1 • Scissors. Tor kids'. Blunt Tip,Scissors Tor kids Blunt Tip,1
"1• Crayons Crayola. Tuck Dmc, 24/1Imt",Crayons Crayola Tuck,1
"1• Marker's, w...w..wJ., Cheek Colors. Wide Tip. S/Set",Marker Cheek Colors Wide Tip Set,1
"5- Cant —!:Lin  !, Marble Cover. Wide Wed. 100 Sheets, blodt",Cant Lin Marble Cover Wide Wed 100 Sheets,5
- Handwriting Camp........:..::; 1'. wbt. SW. 100 -- block
s- Glue t washable. Purple. Dries Cleor..77 os,Glue washable Purple Dries,Multiple
"S- Side On Wee', 711 r. TeUow,100 Sheet/Pod",Side Wee 711 100 Sheet Pod,1
"1• Storage Bags. Ziploc. Gallon, 20 ct",Storage Bags Ziploc Gallon,1
1• Storage Bogs. Ziploc. sandwich. SO ct,Storage Bogs Ziploc sandwich,1
"1• Paint Set. watercolor, 1i Colors w/Irush",Paint Set water color,1
1• Ploy -Doh. 4 os Con. Ant Colors,Ploy Con Ant Colors,1
"1• Pencils. s2. Ytcoi:.:W ., Sharpened. 1 Ds",Pencils Sharpened,1
"5- Pencils. Bsgimaer. 'My Fist', 52. w/Eraser,13/3T Diameter",Pencils Fist,5
1• Pencils. Colored. r. SbY.......d.12/Set,Pencils Colored Set,1
"1• ! =., Poly. 2 Pocket. SPk. Bhre/Bed/0reen/Tellow",Pocket Bed,1
"2- Baby Wipes. w/Aloe. Unscented. tub, SO ct",Baby Wipes,2
"1• Bulk Paper, 201b, l.S x 11'. 500/Pk. Wish("
"2- Paper Towels, Balls. 2 Ply. SS Sheets. 'Bounty'",Paper Towels Balls Ply Sheets Bounty,2
"1• Tissues, . Hypo -Allergenic. 200 ct",Tissues Hypo Allergenic 200,1
3- Soap. Poem. 7S os w/Pump,Soap Poem Pump,3
"1• Makes. Dry Erase. Chbd Tip, Low Odor. 4/Pk",Makes Dry Erase Tip Low Odor,1
"1• Z.Y..., Dry Erase/Cbalk....Y.",Dry Erase,1
1• Free 'Money Prom Home Envelops A Student [D i..! 4,Free Money Prom Home Envelops,1
"""LABEL ALL SUPPLiea"
'Buy duplkate supplies to keep at tome. Additional supplies will be added and
discussed at the curriculum in September.,discussed the curriculum,1
"Website Designed by Julie Larsen © 2017 at Homestead TM"" Design a Website and List Your Busines",Website Designed Julie Larsen 2017 Homestead Design Website and Your,1
