•••oo T -Mobile,Mobile,1
2:58 PM
ps32statenisland.com
43%
1
Doi+;.• MA ter •• n•....
"i 1.,,,,� ' .' i"
0=`i
.
11
wwno60..
11Mwe..
S...szc..
updated June 2017,updated,2017
"1• Singk e,ompartment, not a Duffle or a Tote. no Wbeds. no Flaps-...... or",not Tote Flaps,1
"1- Lunchbox, Soft, for cbpdrm wbo bring Iuncb from boom",Soft,1
"1- Scissors, For Rids', Blunt Tip",Scissors For Rids Blunt Tip,1
"1- Cra:r•mt, Croyolo, Tuck Box, 26/Box",Tuck Box Box,1
"1- Markers, Wosbabk, rK....4 C;.:.,.., Wide tip. S/Set",Markers Wide tip Set,1
"5- Composition Books, Marble Cover, Wide Ruled. 100 Sheets. block",Composition Books Marble Cover Wide Ruled 100 Sheets block,5
"i- Handr..;.;..g Comp Notebook. 1•. Wbt, SW,100 Sheets. Block",Comp Notebook 100 Sheets Block,Multiple
i- Glue StiefrE. Washabk. Purple. Dries Clear. .77 os
"3- Stick On Notes, 3'z 3'. Yellow, 100 Sheet/Pod",Stick Notes Yellow 100 Sheet Pod,3
"1- 5:,....,,. Bops. Ziploc. r_*-^ibwt, 20 ct",Bops Ziploc,1
"1- 5....ye Bogs. Ziploc, Sandwich. SO ct",Bogs Ziploc Sandwich,1
"1- Paint Set, Wals:....vs, Wn•k^hL!,16 Colors w/Brusb",Paint Set,1
"1- Play -Doh. • as Con, Asst Colors",Play Con Asst Colors,1
1- Pencils. *2. Tk....Z...• Sharpened. 1 Di,Pencils Sharpened,1
"1- Pencils, Bn1nn.r, My 11r *2, 13/3r Diameter",Pencils Diameter,1
"1- Pencils, Colored. Y, Star,...... 12/Set",Pencils Colored Star Set,1
"1- Folders. Poty. 2 Pocket, 4Pk. Blue/Red/C Tellow",Folders Pocket Blue Red,1
"2- Baby Wipes, w/Abe, Tub, i0 ct",Baby Wipes,2
"1- Bulk Copy 20 lb, 1.S'z 11', S00/Pk. Whits",Bulk Copy Whits,1
2- Roils. 2 Ply. 115 Sheets. `Bour*y',Roils Ply 115 Sheets,2
1- Facial D ..d•.'Scotties'. Hypo-At:W _ __►� 200 ct,Facial Scotties Hypo 200,1
"1- Soap, Foam. 7.5 of wlPump",Soap Foam,1
"1- Markers, Dry Ernse. rh Tip, Low Odor. 4/Pk",Markers Dry Tip Low Odor,1
"1- Eraser. Dry Erase/rn""`mhoard",Eraser Dry Erase,1
1- Free 'Money From Home' ; _- A Student ID t.wis,Free Money From Home,1
"""LABEL ALL SUPPisaa"
r
"'Buy dupikcate w ;. . to keep at home. Addit' ! WI;""_- will be added and"
discussed at the curriculum conferences in September.,discussed the curriculum conferences,Multiple
"Website Designed by Julie Larsen ' 2017 at Homestead""' Design a Website and List Your Busines",Website Designed Julie Larsen 2017 Homestead Design Website and Your,1
