"i-4 1-1 7.4 2S 14 14 24 2f td 1-1 1-4 w 1,1 w"
3rd Grade School Supplies
Please bring these items for the first day of school!
"• 5 Marble Notebooks (Please purchase the following colors - Red, Green,",Marble Notebooks,5
"Purple, Blue, Yellow)",Purple Blue Yellow,1
"• 6 Folders with 2 bottom pockets (please purchase the following colors - Red,",Folders,6
"Purple, Yellow, Green, Blue, Orange)"
• 48 Pre -sharpened #2 Pencils,sharpened Pencils,48
• 8 pack Pilot Frixion erasable pens (blue colored),pack Pilot erasable pens,8
• 1 Eraser,Eraser,1
• 1 Pair of scissors,scissors,1
• 6 Glue sticks (jumbo sized),Glue sticks,6
• 1 Standard 12 inch ruler,Standard inch ruler,1
• 1 Box of 12 Crayola Colored Pencils,Crayola Colored Pencils,1
• 1 Pack of 8 Washable Crayola Markers (Thick),Pack Washable Crayola Markers,1
• 1 Pack of 8 Washable Crayola Markers (Thin),Pack Washable Crayola Markers,1
• 1 Pack of Dry -erase markers (Thick),Pack Dry erase markers,1
• 1 RoII of Scotch Tape,Scotch Tape,1
• 4 Packs of Post -its (50 count),Post its,4
• 5 Fluorescent Highlighters (varied colors),Fluorescent Highlighters,5
• 1 Ream of Computer paper,Ream Computer paper,1
• 2 Reams of Loose-leaf paper (wide -rule),Reams Loose leaf paper,2
• 3 Yellow legal notepads,Yellow legal notepads,3
• 1 Pack of Blue Fun -Tack (GIRLS),Pack Blue Fun Tack,1
• 1 Roll of Blue Painters Tape (BOYS),Roll Blue Painters Tape,1
• 1 Letter sized clipboard,Letter sized clipboard,1
• 1 Roll of Paper Towel,Roll Paper Towel,1
• 1 Box of Tissues,Tissues,1
• 1 package of Clorox Wipes,Clorox Wipes,1
• 1 Bottle of Antibacterial Soap,Antibacterial Soap,1
• 1 package of 3x5 (small) index cards,index cards,1
• 1 Box of Gallon Size Ziploc Bags,Box Size Ziploc Bags,1
