",rode SupiY List",rode,1
2 containers of C orvx diSiflf€Ct' wiP__,containers,2
box o'' tissue<,tissue,1
❖ 3 boxes o' 1 ga on Iii? oc bags,Iii bags,3
+ 4 notebooks (black and white composition ONLY),notebooks,4
❖ 4 glue sticks,glue sticks,4
❖ 1 pack of 24 Crayola crayons,pack Crayola crayons,1
+ 4 packs of #2 pencils,pack pencils,4
❖ 2 packs of index cards,pack index cards,2
❖ 2 rolls of paper towels,rolls paper towels,2
❖ 1 pack of erasers,pack erasers,1
•=• $10 (for homework folder and classroom supplies
PP es
4
1
