Single subject notebooks,Single subject notebooks,Multiple
THIRD GRADE 4°.
1 Book sack labeled with child's name (NO Wheels),Book sack labeled,1
1 Box of gallon -size zipioc bags(GIRLS PURCHASE),Box size bags,1
1 Box of quart -size ziploc bags ('BOYS PURCHASE),quart size ziploc bags,1
"1 Pack rx 5"" 1'N0 lines) index cards(GIRLS PURCHASE)",Pack lines index cards,1
"1 Pack 5*x 8"" Index csirds (BOYS PURCHASE)",Pack Index,1
1 Roil of Paper towels,Roil Paper towels,1
1 Box of Kiccnex
1 Box of Band -aids,Band aids,1
1 Pack of store brand hand wipes,Pack store brand hand wipes,1
4 Glue sticks,Glue sticks,4
2 8 oz. bottle of school glue,glue,2
4 Marble composition notebook,Marble composition notebook,4
1 Pair Fiskar Scissors for kids,Fiskar Scissors,1
1 Pencil bag i;NO boxes:I,Pencil bag boxes,1
PlAqic pocket folders with prongs,pocket folders,Multiple
",one each color: red, yellow, blue, green, purpte;",one each color red yellow blue green,1
"1 Box of Classic Color Crayons 1:24 count,`'",Classic Color Crayons,1
3 12 -packs of pencils,packs pencils,3
"1 Pack of Wide -Ruled loose 1411_-,s3.1 paper",Pack Wide Ruled loose 1411 paper,1
1 Pack x spy paper,Pack spy paper,1
"2 1"" inch hard cover Binder with pockets",inch hard cover Binder,2
1 Pack colored pencils,Pack colored pencils,1
1 Pack blue pens,Pack pens,1
