017-2018 SCHOOL SUPPLY
ee I n fo rm Updated 612/2017
atio listed,listed,1
in the box below.
FOURTH GRADE
1— Ream Dual Purpose 20 wt. Paper (XeroxlComputer),Ream Dual Purpose Paper,1
2 — Packages 300 ct. Standard Rule Computer) (500 ct.),300 Standard Rule Computer,2
Notebook Paper - Wide Rule (writing grade),Notebook Paper Wide Rule,1
"5 - Plastic Folders with Brads & Pockets - blue, red, green ellow oran",Plastic Folders,5
48 - No. 2 Pencils - * Ticonderoga Brand Preferred 9 ' y ge,Pencils Ticonderoga Brand Preferred,48
2 — Pink Erasers,Pink Erasers,2
1- No. 24 Box Crayola Crayons Preferred,Crayola Crayons Preferred,1
2 - Colored Pencils -12 count,Colored Pencils,2
2 - Yellow Highlighters,Yellow Highlighters,2
1-12 X18 White Construction Paper,White Construction Paper,1
5 - Black Marble Composition Book,Black Marble Composition Book,5
1- Large Elmer's Glue Sticks,Large Elmer Glue Sticks,1
2 - Boxes Kleenex,Kleenex,2
1- Container Lysol Wipes,Container Lysol Wipes,1
1-- Black Tip Expo Markers chisel 4 pack),Black Tip Expo Markers chisel pack,1
1- Elmer's Glue Bottle,Elmer Glue,1
1- Pair of Scissors,Scissors,1
