"/44, '110111pr"
•
Nalait
"e"""
a
4%%*
.4
Bc'over (non adhesive)
C r d Percils
CoPY Piper (Fun Ream),Piper,1
Lyons * iwistabies preferred In tsr • 3rd)
"Disinteoting Wipes (Clorox, Lysol)",Wipes,Multiple
Dry Erase markers (tvvo-peck),Dry Erase markers,Multiple
Earbuds,Earbuds,Multiple
Erasers,Erasers,Multiple
Facial Tissue Box / Paper Towels,Facial Tissue Paper Towels,1
Folder with Pocket,Folder,1
Folder with Pocket - 3 Prong,Folder,1
Glue (white Elmers),Glue,1
Glue Stick,Glue Stick,1
2 -Sided Cellophane tape,Sided Cellophane tape,2
Hand Sanitizer (8oz),Hand Sanitizer,1
Hand Wipes (Baby Woes),Hand Wipes,Multiple
HighOghter
Loose leaf paper - Wide -Rule Only
Markers,Markers,Multiple
Mutt cation Flashcards,Mutt cation Flashcards,Multiple
Paperback Dictionary - Webster's,Paperback Dictionary Webster,1
Penal Bag NO OXu,Penal Bag,1
%sec Storage Bags (aploc style),sec Storage Bags,Multiple
Pencil Sharpener (enclosed for shavings),Pencil Sharpener,1
Rea ink Pens,Rea ink Pens,Multiple
Shoe Box,Shoe,1
"""tnc"
--- 1 d -Rule Only,Rule Only,1
stag,stag,1
I#446v4
(1)
1G
it!
