4th Grace - SChOOL Sucov List/ Lisa o�,Grace Lisa,1
de Odes esc'ares,Odes ares,Multiple
Quantity/ Cantidad Supply/ utiles,Quantity,1
10 Marble Notebooks (no spiral please)/cuadernos marmol,Marble Notebooks,10
10 Poly -Plastic Pocket Folders/ Carpetas(portafolios) plasticos,Plastic Pocket Folders,10
• 2 Blue/azul • 1 Orange/naranja,Blue Orange,2
• 2 Red/rojo • 1 Purple/violeta
• 2 Green/verde • 1 Yellow/amarillo,Green Yellow,2
• 1 Black/negro,Black,1
", Yellow Legal Pad (letter size paper: 8 1 /2 x 11)/ Panel de escritura",Yellow Legal Pad Panel,1
amarilla
2 Lined Filler Paper (college ruled)/ Papel en hojas sueltas,Lined Filler Paper,2
1 Package of Colored Pencils and Crayons/ Paquete de !apices de colores,Colored Pencils and Crayons,1
i o crayones
1 3 I 12 Count Packs of #2 Pencils (can use mechanical pencils)/ Paquete de,Pencils,1
/apices #2
1 4 1 3x3 Post -Its,Post Its,1
1 '-/ 2 I Glue sticks/ Barras de pegamento,Glue sticks,1
1 g — 1 I Pencil bag (no boxes please)/Bolsa para lopices (no compren cajas),Pencil bag please para,1
1 �- 1 Pencil Sharpener with a cap/ Sacapuntas con tapa,Pencil Sharpener,1
1 I Box of Blue or Black Pens/ Caja de boligrafos (plumas) de color negro o,Blue Black Pens color,1
azul
"/,1, ' Box of Red Pens/ Caja de boligrafos (plumas) de color rojo",Red Pens color,Multiple
I. 2 Highlighters/marcadores,Highlighters,Multiple
"L 1 , 3 ring binder - 1 inch/Clasificador (carpeta) de 3 anillas - media pulgada"
' Quantity/Cantidad Welcomed Donations/Donaciones Bienvenidas,Quantity Welcomed Donations,Multiple
L 1 pair/ 1 par Earbuds/headphones/auriculares
2 Roll of Paper Towels/ Rollo de toallas de papel,Roll Paper Towels Rollo,2
""" 2 Wipes/Toallitas de bebe o de Lysol/Clorox",Wipes Lysol Clorox,2
2 i Hand Sanitizer/ Desinfeccion de manos \,Hand Sanitizer,2
2 I Box of Tissues/ d  panuelos r,Tissues,2
1 I Box of gallon -sized Ziploc back/Una caja de balsas Ziploc,Box sized Ziploc back Una balsas Ziploc,1
(tamano - galones)
fe Team/Equipo de Cuarto Grado,Team,1
