ps48q.org
School Supply List
2017-2018
•
• 8 folders,folders,8
• 5 notebooks,notebooks,5
• 1 pencil boa,pencil boa,1
• 4 dry erase markers,dry erase markers,4
• / glue sticks,glue sticks,Multiple
• 1 child scissor,child scissor,1
• 2 boxes of 24 PRE•sharpened pencils,sharpened pencils,2
• 1 pack of wipes,pack wipes,1
• 8 oz. container of hand sanitizer,container hand sanitizer,8
• 1 box of facial tissues,facial tissues,1
• 1 boa of gallon size Ziplock bags,boa size Ziplock bags,1
• 1 manual pencil sharpener,manual pencil sharpener,1
• 1 set of ear buds,ear buds,1
