t Snooty Suggestions & Media Center Info,Snooty Suggestions Media Center Info,Multiple
can
°w or
you
ip
er
while
2017-2018 Suooly List for Sixth Grade
• 4 Composition Books (100 pages each),Composition Books,4
• (3) 1.5 inch Three -Ring Binders,inch Three Ring Binders,1
• 3 packages of 8 -tab dividers,tab dividers,3
• 3 packs of college -ruled notebook paper,pack college ruled notebook paper,3
• 1 pencil nouch to contain the following:,pencil contain the following,1
o Pencils (Wood or Mechanical),Pencils,Multiple
o Blue or black ink pens,Blue ink pens,Multiple
o Cap erasers,Cap erasers,Multiple
o Basic four function calculator,Basic four function calculator,1
o Colored pencils,Colored pencils,Multiple
o Hand held pencil sharpener (or,Hand held pencil sharpener,1
extra lead),extra lead,1
o Thin line markers,Thin line markers,Multiple
o Dry erase marker,Dry erase marker,1
o Glue sticks,Glue sticks,Multiple
o Safety scissors,Safety scissors,Multiple
Needed classroom donations for the year:,Needed classroom donations,Multiple
• Hand sanitizer,Hand sanitizer,1
• Tissues,Tissues,Multiple
