tjglr.ir.rwxrivra�; r:rat�uiii:ri rn•,rat,1
2017-2018 Intermediate Schoe,Intermediate,2017
Fifth Grade
3 boxes 100 count or larger facial tissues,100 larger facial tissues,3
6 composition notebooks,composition notebooks,6
2 boxes 24 count crayons,crayons,2
2 packages 3X5 ruled index cards,ruled index cards,2
1 pencil supply bag,pencil bag,1
2 boxes 12 count colored map pencils,colored map pencils,2
2 packages 150 count notebook paper,150 notebook paper,2
2 packages blue or black pens,blue pens,2
1 box assorted colored highlighters
1 pair earbuds,earbuds,1
4 packages #2 pencils (pk of 12),pencils,4
"2 packages markers (8 count washable, broad tip)",markers,2
2 4 ounce bottle of glue,ounce glue,2
2 packages pencil cap eraser,pencil cap eraser,2
2 large glue sticks,large glue sticks,2
1 pair Fiskars pointed scissors,pointed scissors,1
6 folders with brads and pockets,folders,6
Sixth Grade
