St. John's Episcopal Day Schoo,John Episcopal Day,1
School Supply List
2017-1
Teacher Alyroved Grade 4 G,Teacher,1
"1 Book Cover, Fabric, Jumbo 6ct",Book Cover Fabric Jumbo,1
"1 Case, Pencil, Clear Front, Nylon w/holes",Case Pencil Clear Front holes,1
"6 Eraser, Magic Rub© (white vinyl)",Eraser Magic Rub,6
"1 Folder, Plastic, 2 Pocket, Blue",Folder Plastic Pocket Blue,1
"1 Folder, Plastic, 2 Pocket, Clear (Frosted)",Folder Plastic Pocket Clear,1
"1 Folder, Plastic, 2 Pocket, Green",Folder Plastic Pocket Green,1
"1 Folder, Plastic, 2 Pocket, Orange",Folder Plastic Pocket Orange,1
"1 Folder, Plastic, 2 Pocket, Purple",Folder Plastic Pocket Purple,1
"1 Folder, Plastic, 2 Pocket, Red",Folder Plastic Pocket Red,1
"1 Folder, Plastic, 2 Pocket, Yellow",Folder Plastic Pocket Yellow,1
"2 Glue Stick, Large, Elmer's .77 oz.",Glue Stick Large Elmer,2
"2 Highlighter, Broad Chisel, Yellow",Highlighter Broad Chisel Yellow,2
"1 Markers, Crayola©, Classic, Broad, 8ct",Markers Crayola Classic Broad,1
"1 Markers, Crayola©, Classic, Fine, 8c1",Markers Crayola Classic Fine,1
"1 Notebook, 5 Subj, Wide, Spiral, Assorted Colors",Notebook Subj Wide Spiral Assorted Colors,1
"1 Notebook, 70 pg., Wide, Assorted, Spiral",Notebook Wide Assorted Spiral,1
"1 Notebook, 70 pg., Wide, Yellow, Spiral",Notebook Wide Yellow Spiral,1
"2 Paper, Loose leaf, Wide Rule, 150ct",Paper Loose leaf Wide Rule,2
"2 Pen, Red, Bic© Ballpoint Stick",Pen Red Ballpoint Stick,2
"48 Pencil, #2, Ticonderoga©, Sharpened, Yellow",Pencil Ticonderoga Sharpened Yellow,48
"1 Pencils, Colored, 24 ct, 7"" (Long), Crayola©",Pencils Colored Crayola,1
"1 Ruler, 12"" Standard & Metric, Clear Plastic w/Holes",Ruler Standard Metric Clear Holes,1
"1 Scissors, 6"", Fiskars© Big Kids",Scissors Big Kids,1
"4 Sharpie©, Black, Fine",Sharpie Black Fine,4
"4 Sharpie©, Black, Ultra Fine",Sharpie Black Ultra Fine,4
"3 Zipper, Gallon, Freezer, 14 ct Box",Zipper Gallon Freezer,3
A drri..nnr if<ms veu will need:
