rrrarroo Verizon LTE 5:45 PM QS 94%1=33
"F veredgeschools < ,"
01.1 NLL 501001,501001,01
.ww......0 1211004 UMW/ UST
101720L
41404
ern O
"Wthon bas hooey Obby bode, l nog, row, r. bx 1EA",bas hooey bode row,1
"Wto, boos New, Duty bobs, 1 r l web, r WId. 1EA"
"Sketch 30ok, bd. r reboard. 11"".15'. A SNt 1 EA",Sketch,1
"Sonars. V. panned 0, W. Nee 1M",Sonars panned,Multiple
"Pen, Nock, medium bowl. Woe 5 EA",Pen medium bowl Woe,1
"Pen, Ptak. madam Dom, red 5 EA",Pen madam Dom,1
Sharpener. perm t [rayon. Mk barrel. unused 1 EA
"Dma.s, 1 rook 5Tab, ll'a A5'. assn ] ST",rook assn,1
"Notebook, t spa. WA. peal. 7021, east 1 EA",Notebook spa peal 7021 east,1
"Cob,W perch r sharperp. 11/wt 1ST",Cob perch,1
"idler paper, rode r LW, 105"".. 1701 PC 2 PC",idler paper rode 105 1701,1
_ 1'. l' yellow 100 s.t/IE 3 P,100,1
Ce.yd. Markers. [Info [130(4. Nru tip. 10/set 1ST,Markers Info,130
"Clela dunletiog roes. bleach Nek lemon wan aNb, l5 CI 1 EA"
"Pena. , a}, or*. sharpened, Ides Nee. D[ 2 02"
Free. pr.. Ite. tree. lr4e 3 EA,Free tree,1
"In4e. cards. 1"". 5'. rod/, 100/pk. wide Pb"
"0400,e, [Neel Pp. yolbw. *kit [kp 2 EA",Neel kit,0400
Washable glue sock clear. l 4 0(a 1 E,Washable glue sock clear,4
"Compouton book marble corer, WA, 100 sheets, bark 4 EA",book marble corer 100 sheets bark,1
"pdy, 2 pe[Iel. 5 P. , M/Se/WV,Pur 1 P."
