• Messag... aao 1 5:51 PM 18%C__ •
school -supply -list com
13. 10 - - us ens,ens,13
14. 3 - Red Pens,Red Pens,14
15. 1 - Ruler,Ruler,15
13. 1' - Pkg. Pencil Crayons,Pkg Pencil Crayons,13
"17. 2 -1"" Binders",Binders,17
18. $ - Subject Childers,Subject,18
111. 11- Scientific Calculator,Scientific Calculator,111
20. 11- Geometry Set,Geometry,20
21. 1- Pocket Dictionary,Pocket Dictionary,21
22. 11- Thesaurus,Thesaurus,22
23. 1- Pencil Sharpener,Pencil Sharpener,23
24. 1- Agenda Book/Student,Agenda Book,24
