MAW OmrW Memorial Meal,MAW Memorial Meal,1
J
"Sett NWborg, 1997988",Sett,1997988
BALI( TO SCHOOL suPPLY UST..,BALI,1
Crete (School Year): 2017-2018 Grade= 3' Grade,Crete 2017 2018,1
Teacher West Subject- All
Item Quantity/Description,Item Quantity Description,1
Yellow112 pentdb with erasers 2 packs of 24
Crayons. 24 count 2 boxes 11 to be given out after Christmas)
"1 -Inch Ave, Double Clear Cove 3eins Binder 1batter",Inch Ave Double Clear Cove Binder,1
1 pair
1 ruler,ruler,1
PrMary scunbendissorsabl will s
12tinch de with index
centimeters,centimeters,Multiple
Plastic folderswith,Plastic,1
dlets
Paper Towels,Paper Towels,Multiple
� �-
Clorox Wipes,Clorox Wipes,Multiple
White Coos Paper,White Coos Paper,Multiple
Sinele subject wide -ruled composition books,subject wide ruled composition books,1
Wide -ruled notebook paper,Wide ruled notebook paper,1
Colored Pencils,Colored Pencils,Multiple
Pencil Pouch Ior the 3 -ring Birder
Glue Sticks,Glue Sticks,Multiple
Mee ex Tissue,Tissue,1
Washable Markers,Washable Markers,Multiple
Plastic rectangular shaped pencil box lhox,Plastic rectangular shaped pencil,1
Headphones for computer 1 set Inee studntsoSN,Headphones,Multiple
Cottle peeps )bee,bee,1
"3""ceadewritins tablet 1tablet",tablet,3
Optional Gems,Optional Gems,Multiple
Exec Erasers,Exec Erasers,Multiple
Winer,Winer,1
38.11.
e bmks
__lpq
1 box
1 pouch,pouch,1
1 peck of or mere,peck mere,1
2 boxes
"Special Instructions, Pleuewrite yaw ehilds name on ell items with she exception of"
"uese.. Glmox wipes, copy paper, nutebools paper and cough drupe."
