Awe c AT&T 'i 11:37 AM 1 • * 87%fir,Awe fir,1
\c:es
3RD GRADE
'24 #2 Ticonderoga or Dixon pencils (NO,Ticonderoga Dixon pencils,24
mechanical pencils,mechanical pencils,Multiple
1 pack of markers,pack markers,1
"3 wide ruled spiral notebooks (1 green,1",wide ruled spiral notebooks,3
"red, 1 yellow)",red yellow,1
2 Pink Pearl erasers or a box of pencil top,Pink Pearl erasers pencil top,2
erasers,erasers,Multiple
2 packs of wide ruled notebook paper,pack wide ruled notebook paper,2
•2 boxes of facial tissues,facial tissues,2
Pens (black/blue and red),Pens,Multiple
1 pack of dry erase markers,pack dry erase markers,1
2 containers of disinfectant wipes,containers disinfectant wipes,2
1 composition book,composition book,1
1 ream of copy paper,ream copy paper,1
1 pack of sticky notes,pack sticky notes,1
1- Student scissors,scissors,1
1 pack of highlighters,pack highlighters,1
1 small pencil sharpener,small pencil sharpener,1
1 box of crayons or colored pencils,crayons colored pencils,1
