.S. 204 Supply ppY List as
Kindergarten
• 1 change of clothes in a Ziploc bag with their,change clothes Ziploc bag,1
name written on the bag,name written the bag,1
• 2 marble composition notebooks i •
• 2 two -pocket plastic folder,two pocket plastic folder,2
• 1 box of 24 crayons,crayons,1
• 1 box of 12 colored markers •,colored markers,1
• 2 boxes of dry erase markers (black) •,dry erase markers,2
• 2 packages of yellow #2 pencils (sharpened,pencils,2
(ticonderoga preferred) •
• 1large eraser •,eraser,1
• 2 Elmer's glue sticks,Elmer glue sticks,2
• 1 package gallon sized Ziploc bags I •
• 2 box of tissues,tissues,2
• 2 package of printer paper,printer paper,2
