• 2 marble notebooks (labeled with name and class),marble notebooks,2
"• 8 sturdy tbrders 2 ofcach color (Blue,Rcd/4mco/Yogaw)",sturdy color,8
• I soft zippered pencil case lill*d with 8 kg.fpfahlil pencils
• 1 small art box(8inx5io) that will fit inside desk please fill
with
• I boa of ?A Crayols.ayma,boa,1
• I pair of safety salmon,safety,1
• 1 pack of colored pencils,pack colored pencils,1
• 1 glue stick,glue stick,1
Pleas. wwsl taw&M.d.. X... In.. Mai— Gh...IN1.Fr
• 2 packs of p2 abvrprllt pencil.,pack pencil,2
• 1 pack of colored pens,pack colored pens,1
• I pack of 8 count washable,pack washable,1
• 1 pck of wide r'.mn loosACef paper,wide paper,1
"• 1 yellow louarleafpad, mil•-. ern",mil,1
• 2 packs of white computer paper,pack computer paper,2
• 1 package of or more glue stick.,more glue stick,1
• I package Of P. or more highlighters,more highlighters,Multiple
• 1 package of index cards (Boys- white Oi*W sesn),index cards,1
• I4pk of dry erase markers,dry erase markers,Multiple
"• I pack ofpostnis (any sice,11111111)",pack,1
• 1 Iinch wh e binder with clear pocket on the cover,binder,1
• 1 package of 5 tab binder dividers that can be written on
• 2 rolls of paper towels,rolls paper towels,2
• 2 bates of,bates,2
• 1 container of disinfecting wipes,container disinfecting wipes,1
• 1 bottle of FOAM soap,FOAM soap,1
9 bottle of hand sanwrat,hand,9
• 1 b* of Ziploc bags Hoye-pgon Oids-wvdwlch),Ziploc bags,1
• I art of head phones and allaab drive in a Ziplac bag
"• Optimal Ink—CenOn 711:1‘1,21130 (tins would be greatly",Optimal Ink 711,21130
appreciated),appreciated,1
0 �1
