Fourth F.rndv Schnnl Sunnlies
Please put your name pn all of your supplies and have them with you on
the first day of schooll
1 11/2 inch binder,inch binder,1
4 marble notebooks,marble notebooks,4
4 spiral notebooks,spiral notebooks,4
10 plastic folders with pockets and holes,plastic folders,10
""" 2 packages white lined paper",lined paper,2
2 boxes dry erase markers (Expo),dry erase markers,2
4 packs of # 2 pencils with erasers,pack pencils,4
""" 1 pair of scissors",scissors,1
1 pencil sharpener with cover to catch shavings,pencil sharpener,1
1 box of Croyola markers,markers,1
1 box of Crayola crayons (24 or more),Crayola crayons,1
1 package of glue sticks,glue sticks,1
1 package of post -it notes,post notes,1
1 package of index cords,index cords,1
1 supply box
6large boxes of tissues,tissues,Multiple
1 container of Clorox wipes,container Clorox wipes,1
1 large bottle of hand sanitizes,large hand sanitizes,1
1 box of gallon size Ziploc bags,box size Ziploc bags,1
1 box of quart size Ziploc bogs,quart size Ziploc bogs,1
4j
