888 T-Moblle • 2:58 PM 43%■ •
MI ` r l
updated June 2017,updated,2017
"1 -Folders, Poly, 2 Pocket, 3 Hole, 5 Pk, .'•••• `^"" ^--een,Yellow, Purple",Folders Pocket Hole Yellow Purple,1
"0 -Folder, Poly, 2 Pocket, 3 hole, Orange",Folder Pocket hole Orange,1
"0 -folder, Poly, 2 Pocket, 3 Hole, White",folder Pocket Hole White,1
"T -Composition::_..:......:.°, Marble Cover, Wide Ruled, 100 Sheets, Black",Composition Marble Cover Wide Ruled 100 Sheets Black,1
"2-PaperTowels, Roll, 2 Ply, 85 Sheets",Roll Ply Sheets,2
"3-Facial Tissues, 'Scotties, Hypo -Allergenic, 20008",Facial Tissues Scotties Hypo Allergenic 20008,3
"1 -Pencil case, Fabric, 3 hole w/Grommets, 10'8",Pencil case Fabric Grommets,1
"2-r""7 Chisel Tip, Yellow, w/Pkt Clip",Chisel Tip Yellow,2
"0 -Pencils, 82, Oriole, Sharpened 1 d8",Pencils Oriole Sharpened,Multiple
"6 -Stick On Notes, 3's 3', lined, Asst., 80 Sheet/Pad"
"1 -Ruler, 12', Plastic, Inch 8 Cm, Center Holes",Ruler Plastic Inch Center Holes,1
"1 -Bulk Copy Paper, 201b, 8.0 3 ir, 500/Pk, white",Bulk Copy Paper 500,1
"1 -Filler Paper, Wide Ruled, 10.5'88', 120/Pk",Filler Paper Wide Ruled 120,1
"1 -Crayons, Tuck Box, 16/B00",Crayons Tuck Box,1
"3 -Glue Sticks, Ehuels Washable, Purple, Dries Clear, .2108",Glue Sticks Washable Purple Dries Clear 2108,3
"1 -Scissors, 5', Pointed Tip",Scissors Pointed Tip,1
"1 -Pencils, Colored, T, Sharpened, 12/Set",Pencils Colored Sharpened Set,1
1 -Free 'Money From Home 8 Student ID Labels,Free Money From Home Labels,1
"1 -Baby Wipes, 80ctTob",Baby Wipes,1
•'KEEP EXTRA SUPPLIES AT HOME'•
"""Summer is a great time to practice addition, subtraction and",Summer great time practice addition subtraction,1
"—••••••,"".^^•'^- with flash cards (please purchase or make your own)"
"mite Designed by Juli= ""' @9ilTIdlelomestead'"" D_esigl",mite Designed Juli,1
