Walnut drove tiementary,Walnut drove,1
School Supply List
2017-2018
Third Grade
Ej@n41 n._.
a School .WPC ®m.ge Gge9OltOlT . �ma.
"1 EW1Btln0YG Paper Towels, Rea. 2 PIA 65&sb",Paper Towels Rea PIA,1
"ao Stick, Erma. Wasiwde, PWI4 Odes Clow, .21 as",Stick Erma Odes,Multiple
"Hklkeghter, Chisel Tip, Pink",Chisel Tip Pink,1
"Folder, Poly, 2 Pock., wl5eap, Creme",Folder Pock Creme,1
"Felder, Poly, 2 Pocket Blue",Felder Pocket Blue,1
"Fdda, Poly, 2 Pocket Mere., 61.11",Pocket Mere,11
"GUe Fakeer, Poly. 2 Packet, e•Mrolltk",Packet,1
"1 a • •pergllgulrr HIghligner, Chisel Tip, flange",Chisel Tip flange,1
"Fakeer, Poly, 2 Packet, Red",Packet Red,1
"1 a Shr/ee ! ghghter, Chisel Tip, Vel m, WPle",Chisel Tip,1
"1 Ca Weer, Disinfecting, Bleats Peek Lean Stet CIr4,ffiC",Weer Disinfecting Bleats Peek Lean Stet,1
"1 a 8tlmlGtl[ Paid/ Case, Vinyl, Bank Beg, 11 x8',",Paid Case Vinyl Bank Beg,1
"1 Be OS Clgais. Ctayda, 414 Box, 24/Box",414 Box Box,1
"1 Pk *1 Paselr Notes, B' x 3', Yellow, 10081110Pd",Notes Y,1
"1511 Shpla Fier Paper, Wide Rule, 10.5' x3', 1201Pk",Paper Wide Rule,1511
"1 a CUB Felder, Poly, 2 Pocket w/Pmng, Purple",CUB Felder Purple,1
"I Bs 109osx Facial ""fissue, 'Kleenex', 2 -Ply, 160 C2., Whlke",Facial Kleenex Ply 160,1
"2Pr WetgA[ Sdesers. 5', Pointed Tlp, Latex Free. east",Pointed Latex Free east,1
"1 Ea M d Ceeµvsition Book, Marble Cover, WR, 100 Sheen, Bleak",Book Marble Cover 100 Sheen Bleak,1
"181 C1eMs Park. Coload, T. Sharpened, 120060",Park Sharpened 120060,181
"1 Ea W4m Jae Mer, 3 Ring, Heavy Duty, Vier, 1', Blue",Jae Mer Ring Heavy Duty Vier Blue,1
1 Ea Bme tens Free 'Money Fern Hone' EmySdpa: & Shelent 10 Labels,tens Free Money Fern Hone Labels,1
