5th GRADE
_ Nylon Zipper binder,Nylon Zipper binder,1
_ t drabse pocket Idlers wnh 3 hoes to In inside nylon taper binder
_ pencil pouch vmh 3 holes to pt Inside binder
_ Endess wooly o1 pencils! (mechanical recommended),pencils,Multiple
1.locker stacking shed with 12 legs
2.8/3x1111 graph paper spiral bound notebooks (math),graph paper spiral bound notebooks,2
"a• 1 subject OOIeb00k (1 for SS, 2 (0. science. 1(0r religoo)",subject,1
a. 100 count packages of Noose leaf paper (reading/tA/rellgion),100 Noose leaf paper,Multiple
3•veltow (83641Nilegal note pad BA/
"S•iuMRO books covers 12 rM(IAl, 1000(0(marh), 1 green(SS). 1 bluelsciencel)",books covers 1000 green,Multiple
3 pink erasers (reading/co),erasers,3
1.50 pack wooden pencils,pack wooden pencils,1
1 . 24 pack of crayons,pack crayons,1
_ 1.24 pack o11010. pencils•,pack pencils,1
_ l-10 pack 01 fine line markers,pack fine line markers,Multiple
_ 1-4 peck of Expo markers,peck Expo markers,1
— 8 -red bag DOW pons•,red bag DOW pons,8
_ 1 -pair scissors*,pair scissors,1
_ 3-343 Post•it note pads (vark1Y of toles)',Post note pads,3
_ 3 boxes of Kleenex •,Kleenex,3
_ 3ldls of paper towels,paper towels,Multiple
_ 1 container Clorox wipes •,container Clorox wipes,1
1 container Baby wipes•,container Baby wipes,1
_ 1 box galon sire Pp oc oags,sire,1
geekpeck (-'+o wheels) —
•'terns :o be collected by teat ker 'or commun ty class•oon use
SW GRAM ART,GRAM ART,1
glue 00110,glue,00110
"W pa set, wasnable, 8 co 0 witn urusn",set,1
"Sketchbook, side wirebnd 11x8 5, 70 sheets",Sketchbook side sheets,Multiple
