❑ Pencils,Pencils,Multiple
❑ Erasers,Erasers,Multiple
O Ruler,Ruler,1
❑ Highlighters,Highlighters,Multiple
❑ Colored Pencils,Colored Pencils,Multiple
O Pencil Sharpener,Pencil Sharpener,1
O Colored Markers,Colored Markers,Multiple
"O Pens (Black, Blue, Red)",Pens,Multiple
O Correction Tape,Correction Tape,1
❑ Gluesticks,Gluesticks,Multiple
❑ Stapler,Stapler,1
❑ Scissors,Scissors,Multiple
❑ Planner/Agenda,Planner Agenda,1
O Sticky Notes,Sticky Notes,Multiple
❑ Printer Paper,Printer Paper,1
❑ Lined Paper,Lined Paper,1
O Graph Paper,Graph Paper,Multiple
❑ Pencil Case,Pencil Case,1
❑ Exercise Books,Exercise Books,Multiple
❑ Sheet Reinforcements,Sheet Reinforcements,Multiple
❑ Tab Dividers,Tab Dividers,Multiple
O Sheet Protectors,Sheet Protectors,Multiple
❑ Coil Notebooks,Coil Notebooks,Multiple
❑ Binders (1 or 2 inch),Binders,Multiple
❑ Pocket Folders,Pocket Folders,Multiple
O Report Covers,Report Covers,Multiple
❑ Dictionary
0 Scientific Calculator,Scientific Calculator,1
