RI.RA 20t -1 X Fifth rnndr Sunnly I. ix:
48E2 pe d.(*wood)
f f k loderope Wend permed/
I dove ring bider pencil pooch
I box &Cresol& f rip market ea Ipk/
•: psis fe:dc y-:rh p-ings for Spanish,psis,1
• 1 100 pap spiral nokbook for Spanish,pap spiral,1
2 plwk 3 woes porky folders (I rod. I,woes porky folders,2
Yellow/,Yellow,1
I heir ofCnnyole colored pencils I2aI Ibox snoloolt sac 2iploc hsgs (Orb)
2 plopofwmd coloredpnld moo a 1100 al 3X5 ruled icily anis
",.7 23 hole punch pocket Melees",hole punch pocket,7
3 pkg.. vnde rued rear paper I pair ofabd/ Mdphaws err peraS
osc m cis
"x drx vase rsAeo esuoxrd echo:, 5 oboe holed bales with ride pnekN",vase echo oboe holed bales,1
lose of 1 ppyofwhite 3725 index ads. lined,lose 3725 index ads lined,Multiple
1 lswes assorted colon harry be pal et Rowed Up Day cues
Se bow e11be.Rh cadres Web work
eel so BIM:,eel,1
520 eay.Bd bk Supply Fee ller per `py11
11'Rsries bidet Mires,bidet Mires,11
112 - srndard and meow,and meow,112
"I4. .,M.,oe pyel"
iI deb bijdelooKyerrew. Ma. pink. oranpel,deb pink,1
310 An Fee
15 Scbadogy Fee pa aldrm
15 palm lee,palm lee,15
31 recorder fah( stoker don oar Welly have e,recorder,31
murder/,murder,1
$2 bank Woke,bank Woke,2
