4th Grade Supply List
•
•
•
•
7 marble composition notebooks,marble composition notebooks,7
7- 2 pocket folders,pocket folders,7
2 packs of loose leaf,pack loose leaf,2
1 pack of post -its (with or without lines),pack post its,1
3 packs of number 2 pencils,pack number pencils,3
1 pack of dry erase markers,pack dry erase markers,1
"1 pack of crayons, markers, or colored pencils",pack crayons markers colored pencils,1
2 boxes of tissues,tissues,2
Clorox wipes,Clorox wipes,Multiple
Hand sanitizer,Hand sanitizer,1
Gallen size zip lock baygies (1 bon),size zip lock,1
C. .0
