2 - dozen #2 pencils (replenish as needed),pencils,2
1 - pair of scissors,scissors,1
2 - plastic two -pocket folders with prongs,plastic two pocket folders,2
1 - box of 8 to 12 colored pencils,colored pencils,1
1 - box of 16-24 crayons,crayons,1
2— rolls of Scotch tape,rolls Scotch tape,2
2 - highlighter (replenish as needed),highlighter,2
3 - low odor dry erase markers EXPO brand,low odor dry erase markers EXPO brand,3
6 - 100+ sheet spiral notebooks (8'/ x 11 in.),sheet spiral notebooks,6
"2 - composition books (100 sheets, wide ruled 9 3 by 7' /2 in.)",composition books,2
200 - 3x5 lined notecards,lined,200
1 - black Sharpie,Sharpie,1
2-4 - sticky note pads (3x3 in.),sticky note pads,2
2 - pkg of lined notebook paper (wide or college),lined notebook paper,2
1 - large pink eraser,large eraser,1
1 - Boxes of tissues,tissues,1
