Kindergarten
1-24 pk Crayola Crayons,Crayola Crayons,1
2- 8 pk Crayola washable markers,Crayola washable markers,2
(Classic colors),Classic colors,Multiple
1 Crayola water color paints,Crayola water color paints,1
1 -12 pk #2 Plain Pencils-,Plain Pencils,1
Ticonderoaa -sharpened,sharpened,1
10 Elmers Glue Sticks,Elmers Glue Sticks,10
1 Elmers liquid glue,Elmers liquid glue,1
6 pk Expo fine tip black dry erase,Expo fine tip dry erase,6
markers,markers,Multiple
1 12 pk CRAYOLA colored,CRAYOLA colored,1
"pencils, classic colors -sharpened",pencils classic colors sharpened,Multiple
2 Large pink erasers,Large erasers,2
Replenish Supplies as needed,Replenish needed,1
Please label the following:
1 -Backpack,Backpack,1
1 pair PE shoes that your child,shoes that your child,1
can put on independently. (ex.
Velcro or slip on),Velcro slip,1
*A complete change of clothes*,complete change clothes,Multiple
