Fifth Grade
❑❑❑❑❑❑❑❑
o
❑
a
8 dry erase markers (dark colors),dry erase markers,8
4 glue sticks,glue sticks,4
3 dozen #2 pencils (sharpened),pencils,3
"5 pens (3 blue or black, 2 red)",pens,5
1 box colored pencils or crayons (parent's choice),colored pencils crayons,1
"8 washable, broad -tip classic color markers",washable broad tip classic color markers,8
2 highlighters — different colors,highlighters different colors,2
7 folders with bottom pockets - solid colors.,folders,7
"1 each: black, red, blue, yellow, orange, green, purple",each black red blue yellow orange green,1
2 folders with pockets AND prongs — solid colors,folders,2
1 3 -ring binder (1/2 inch),ring binder,1
3 boxes facial tissue,facial tissue,3
"1 plastic supply box (no larger than 6"" x 9"")",plastic,1
7 one subject spiral notebooks,one subject spiral notebooks,7
"2 packs filler paper, wide -ruled",pack filler paper wide ruled,2
2 packages 3x3 -inch Post -It notes,inch Post notes,2
"1 pack 100 note cards — white and lined — 3"" x 5""",pack 100 note cards and lined,1
1 pair 7 -inch pointed tip scissors,inch pointed tip scissors,1
1 12 -inch ruler (1/8 inch scale),inch ruler,1
1 eraser for white board,eraser,1
1 pair headphones or earbuds,headphones earbuds,1
1 pair gym shoes for physical education days,gym shoes,1
1 art shirt,art shirt,1
1 box gallon -size Ziploc bags (boys),box size Ziploc bags,1
1 box quart or sandwich -size Ziploc bags (girls),quart sandwich size Ziploc bags,1
