4th SUPPLY LIST FOR 2017-2018,FOR 2017,2018
2 -Large I.27oz Glue Sticks (White Only)/,Large Glue Sticks,2
• 1 -Box of 10 Count Classic Washable Color Markers /,Box Classic Washable Color Markers,1
- 2 -
1 -Box of 12 Count Colored Pencils or Crayons Classic Colors,Box Colored Pencils Crayons Classic Colors,1
. I -Box #2 Pencils Sharpened t
I -Box Pencils (Mechanical Optional),Box Pencils,Multiple
I -Package of Erasable Pens (Illue & Black only),Package Erasable Pens,Multiple
- 2 -Red Pens,Red Pens,2
1 -Package Loose Leaf Paper (Wide Ruled),Package Loose Leaf Paper,1
5 -Marble Notebooks labeled with student's name,Marble Notebooks labeled,5
I -Package Construction Paper,Package Construction Paper,1
- 1 -Package of Post It Notes,Package Post Notes,1
"1-3"" x 5"" Lined Index Cards",Lined Index Cards,1
7 -Horizontal pocket folder Name on the outside,Horizontal pocket folder Name the outside,7
1 -Scissors (Fiskar Type - Pointed),Scissors,1
". 1-12"" Ruler/Metric",Ruler Metric,1
1 -Pocket Dictionary,Pocket Dictionary,1
2 -Soft Standard Size Pencil Case,Soft Standard Size Pencil Case,2
I -Roll of paper Towel,Roll paper Towel,1
2 -Box Tissues (200 Count),Box Tissues,2
1 -Refill pack of Baby Wipes,Refill pack Baby Wipes,1
SUPPLIES REQUESTED BY SPECIALS - Please label and place in a separate bag for specials:,REQUESTED SPECIALS Please label and place separate bag,Multiple
1-1 Subject Spiral Notebook with pockets - Musk,Subject Spiral Notebook,1
2 -Box d2 Pencils Sharpened - Musk & Art /,Box Pencils Sharpened Musk Art,2
3-Horlzonlal pocket folder- label with Name & Subject -Music. Spanish & Tee hnolog)/Library,Library,1
I -Boutique Size Tissues - Spanish
I -Box of 12 Count Colored Pencils - Aril,Box Colored Pencils,Multiple
I -Black Sharpie - Ml,Black Sharpie,1
"1-12"" Ruler/Metric - Art",Ruler Metric Art,1
1 -Flash Drive labeled & kept in students pencil case - Tech nologyll.ihrars
I-ContainerofLysol/Clorox Wipes - Technology/Library,Clorox Wipes Technology Library,Multiple
