6 Grade Science,Science,6
School List
"Green folder, composition notebook, loose leaf paper, #2 Pencils and index",Green folder composition notebook loose leaf paper Pencils and index,1
cards,cards,Multiple
"*It's the school policy not to allow book bags in the classroom. So, it is"
recommended to have a pencil pouch with the following:
❖ Colored pencils,Colored pencils,Multiple
❖ Red/blue pens,Red blue pens,Multiple
•.• Glue,Glue,1
❖ A sharpener,sharpener,1
:• Highlighters,Highlighters,Multiple
