School Supplies Checklist 4.,Checklist,4
Backpack,Backpack,1
lunch box,lunch,1
Pencils,Pencils,Multiple
Pencil Box,Pencil,1
Pens,Pens,Multiple
Notebook,Notebook,1
Glue Sticks,Glue Sticks,Multiple
Colored Pencils,Colored Pencils,Multiple
Markers,Markers,Multiple
Pencil Sharpener,Pencil Sharpener,1
Erasers,Erasers,Multiple
Scissors,Scissors,Multiple
Pocket Folders,Pocket Folders,Multiple
Highlighters,Highlighters,Multiple
Binders,Binders,Multiple
Stapler,Stapler,1
Ruler,Ruler,1
Calculator,Calculator,1
loose leaf Notebook paper,loose leaf Notebook paper,1
Tope
Crayons,Crayons,Multiple
Drawing Paper
Planner/ Agenda,Planner Agenda,1
Note cards,Note cards,Multiple
