"start of our v Delow, a list of items that we would lik"
new school year. Have a wonderful summer and don't
s READ!,READ,1
"Sincerely,"
The Fifth Grade Team
5th Grade Sunoly List
-Folders ( 2 - any style),Folders,Multiple
-Notebooks (6- any style),Notebooks,Multiple
-Highlighters (2 -different colors),Highlighters,Multiple
"-Crayons, Markers or Colored Pencils",Crayons Markers Colored Pencils,Multiple
-Scissors,Scissors,Multiple
-Post Its (2 packs),Post Its,1
-Pencils (box of 12),Pencils,Multiple
-Pens (colored- 2),Pens,Multiple
-Pens (blue or black),Pens,Multiple
