2 Yellow Highlighters,Yellow Highlighters,2
Parents Get a Copy of the 7th Grade Supply List By Teachers/Adminisl
Clicking Below Supply List By Clic
",/ E -Mail Me a Copy of the Sub21y List"
Quantity Item Notes,Quantity Item Notes,Multiple
5 Composition Wide Ruled Notebooks,Composition Wide Ruled Notebooks,5
1 Box of b2 Pencils or Mechanical Pencils,Pencils Mechanical Pencils,1
Box of Blue or Black Pens,Blue Black Pens,Multiple
5 Folders with Brads and Pockets,Folders,5
3 Highlighters,Highlighters,3
2 Large Erasers,Large Erasers,2
Pack of 3 0 5 White Ruled Index Cards,Pack White Ruled Index Cards,1
1 Pack of Loose Leaf Paper (Minimum 100 pages),Pack Loose Leaf Paper,1
Package of Post -it Notes,Post Notes,Multiple
Protractor with degree markings,Protractor,1
5 Red Pens,Red Pens,5
Ruler with Centimeters and Inches Displayed,Ruler,1
Scientific Calculator,Scientific Calculator,1
1 Scotch Tape,Scotch Tape,1
2 Three Ring Binders,Three Ring Binders,2
Parents Get a Copy of the 8th Grade Supply List By
Clicking Below
u E -Mail Me a Copy of the Supply List
Teachers/Adminisl,Teachers,Multiple
Supply List By Clic
